ITEM_20150317_000001	Empty_helmet	없음_helmet	Empty_Helmet
ITEM_20150317_000002	Murmillo Helmet	무르밀로 헬멧	Murmillo Helmet
ITEM_20150317_000003	Empty_armband	없음_armband	Empty_Armband
ITEM_20150317_000004	Red Armband	붉은 암밴드	Red Armband
ITEM_20150317_000005	Armband	암밴드	Armband
ITEM_20150317_000006	Knotted Armband	매듭진 암밴드	Knotted Armband
ITEM_20150317_000007	Long Armband	긴 암밴드	Long Armband
ITEM_20150317_000008	Feather Armband	깃털 장식 암밴드	Feather Armband
ITEM_20150317_000009	Tasseled Armband	술달린 암밴드	Tasseled Armband
ITEM_20150317_000010	Empty_weapon	없음_weapon	Empty_Weapon
ITEM_20150317_000011	Crude Gladius	조악한 글라디우스	Crude Gladius
ITEM_20150317_000012	One-handed Sword [Slash]	한손검[베기]	One-Handed Sword [Slash]
ITEM_20150317_000013	A standard weapon for the soldiers from the Royal Army. Also commonly carried by civilians.	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.	Senjata yang biasa digunakan oleh prajurit kerajaan.
ITEM_20150317_000014	Gladius	글라디우스	Gladius
ITEM_20150317_000015	This weapon is an improved version of its military counterpart.	군용에 비해 성능 향상의 여지를 두고 제조됩니다.	Senjata ini telah ditingkatkan untuk keperluan militer.
ITEM_20150317_000016	Low Falchion	로우 폴쳔	Low Falchion
ITEM_20150317_000017	This sword is exceptional for slashing.	베기 성능이 우수한 검입니다. 	Pedang ini bagus untuk membelah dan memotong.
ITEM_20150317_000018	Low Kaskara	로우 카스카라	Low Kaskara
ITEM_20150317_000019	Due to its ease in manufacturing, this sword is frequently chosen by adventurers as their first replacement for their training sword.	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.	Karena mudah dibuat, Senjata ini sering dipilih oleh prajurit untuk berlatih.
ITEM_20150317_000020	Cinquedea	친퀘데아	Cinquedea
ITEM_20150317_000021	Recommended for those who desire a heavier and stronger sword.	더 무겁고 더 강한 검을 원한다면 권장합니다.	Sangat direkomendasikan untuk yang menginginkan pedang yang keras dan kaut.
ITEM_20150317_000022	Sabre	사브르	Sabre
ITEM_20150317_000023	Primary weapon of the cavalry, optimized for slashing. The guard on the hilt helps protect the user's hand.	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.	Senjata utama yang dikhususkan untuk membelah. Hilt nya dapat melindungi tanganmu.
ITEM_20150317_000024	Shamshir	샴시르	Shamshir
ITEM_20150317_000025	The blade's large crescent edge cuts with immense power.	크게 구부러진 초승달 검날이 베기에 위력적입니다.	Ujungnya yang melengkung memungkinkan untuk menghasilkan tebasan kuat.
ITEM_20150317_000026	Scimitar	시미터	Scimitar
ITEM_20150317_000027	Its heavy weight is compensated by its very powerful slash.	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.	Beratnya sesuai dengan tebasannya yang kuat.
ITEM_20150317_000028	Kris	크리스	Kris
ITEM_20150317_000029	Its twisted edge amplifies the damage it inflicts. A sword that is both practical and ornamental.	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.	Praktis dan mudah digunakan. Namun tetap dapat menghasilkan damage yang kuat.
ITEM_20150317_000030	Snickersnee	스니커스니	Snickersnee
ITEM_20150317_000031	Its extremely sharp blade makes it a favorite among even the most experienced swordsmen.	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.	Kekutannya dalam memotong disukai oleh para ahli pedang.
ITEM_20150317_000032	Crude Shamshir	조악한 샴시르	Crude Shamshir
ITEM_20150317_000033	Crude Scimitar	조악한 시미터	Crude Scimitar
ITEM_20150317_000034	Soldier's Gladius	병사의 글라디우스	Soldier's Gladius
ITEM_20150317_000035	A basic armament provided to full-time soldiers. Its overall quality is better than those sold in the market.	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 	Senjata dasar untuk prajurit. Kualitasnya lebih baik daripada yang ada di pasaran.
ITEM_20150317_000036	Mayor's Falchion	촌장의 폴쳔	Mayor's Falchion
ITEM_20150317_000037	Looking at this weapon raises suspicions on its previous owner's past.	이전 주인의 과거가 의심스러워지는 물건입니다.	Bentuk senjatanya membuat curiga terhadap pemilik sebelumnya.
ITEM_20150317_000038	Crude Kaskara	조악한 카스카라	Crude Kaskara
ITEM_20150317_000039	Moplah	모플라	Moplah
ITEM_20150317_000040	This sword combines both practicality and aesthetics.	실용성과 미적 감각을 모두 갖춘 검입니다.	Pedang ini menggabungkan nilai keindahan dan kegunaan.
ITEM_20150317_000041	Heavy Gladius	헤비 글라디우스	Heavy Gladius
ITEM_20150317_000042	Falchion	폴쳔	Falchion
ITEM_20150317_000043	Heavy Falchion	헤비 폴쳔	Heavy Falchion
ITEM_20150317_000044	Kaskara	카스카라	Kaskara
ITEM_20150317_000045	Heavy Chinqueda	헤비 친퀘데아	Heavy Cinquedea
ITEM_20150317_000046	Heavy Sabre	헤비 사브르	Heavy Sabre
ITEM_20150317_000047	Heavy Shamshir	헤비 샴시르	Heavy Shamshir
ITEM_20150317_000048	Dunkel Sabre	던켈 사브르	Dunkel Sabre
ITEM_20150317_000049	Dunkel Snickersnee	던켈 스니커스니	Dunkel Snickersnee
ITEM_20150317_000050	Dunkel Falchion	던켈 폴쳔	Dunkel Falchion
ITEM_20150317_000051	Dunkel Kaskara	던켈 카스카라	Dunkel Kaskara
ITEM_20150317_000052	Dunkel Cinquedea	던켈 친퀘데아	Dunkel Cinquedea
ITEM_20150317_000053	Dunkel Shamshir	던켈 샴시르	Dunkel Shamshir
ITEM_20150317_000054	Kozuka	코주카	Kozuka
ITEM_20150317_000055	No tooltip available	툴팁이 없습니다.	Tidak memiliki pegangan khusus
ITEM_20150317_000056	Badelaire	바들레르	Badelaire
ITEM_20150317_000057	Saif	사이프	Saif
ITEM_20150317_000058	Colichemarde	콜리슈마르드	Colichemarde
ITEM_20150317_000059	Firangi	피란기	Firangi
ITEM_20150317_000060	Thorn Cutter	쏜 커터	Thorn Cutter
ITEM_20150317_000061	Demion Sword	데미온소드	Demion Sword
ITEM_20150317_000062	Master Sword	지존검	Master Sword
ITEM_20150317_000063	Panto Sword	판토 소드	Panto Sword
ITEM_20150317_000064	A crude sword used by the Panto. You could craft a better version yourself.	판토들이 사용하지만 직접 제작하면 더 나은 판토 소드를 만들 수 있습니다.	Pedang yang digunakan oleh panto, Pedang panto yang lebih baik dapat kamu buat sendiri.
ITEM_20150317_000065	Flonas Sabre	플로나스 사브르	Flonas Sabre
ITEM_20150317_000066	Some say this weapon unleashes the grudge that plants hold against beasts.	어떤 사람들은 이 검에 식물이 동물에게 품은 감정이 발현된다고 합니다.	Ada yang mengatakan pedang ini menyimpan dendam tanaman kepada hewan.
ITEM_20150317_000067	Golden Falchion	골든 폴쳔	Golden Falchion
ITEM_20150317_000068	Possibly due to gold's correlation with fortune, the Golden Falchion bestows its wielder with good luck during battle. Of course, it severely harms its foes.	황금이 행운의 상징인 때문인지 골든 폴쳔은 전투에서 행운을 선사하곤 합니다. 물론 적에게는 심한 피해가 되겠지요.	Karena emas berhubung dengan keberuntungan, Golden Falchion memberikan keberuntungan kepada pemegangnya. Memberikan kesialan terhadap musuhnya.
ITEM_20150317_000069	Steel Falchion	스틸 폴쳔	Steel Falchion
ITEM_20150317_000070	The Steel Falchion is a good choice for those pursuing precision in their swordsmanship.	검법의 정밀함을 추구하는 검사라면 스틸 폴쳔이 좋은 선택일 수 있습니다.	Steel Falchion sangat cocok untuk kamu yang menginginkan akurasi.
ITEM_20150317_000071	Silver Falchion	실버 폴쳔	Silver Falchion
ITEM_20150317_000072	Its light weight and sturdiness allows the swordsman to unleash his full potential during an attack.	가벼우면서도 의외로 단단하여 검사의 용력을 담은 공격을 펼칠 수 있습니다.	Sifat ringan dan kuatnya memberikan kamu mengeluarkan potensi terbaik saat bertarung.
ITEM_20150317_000073	Mandrapick	만드라픽	Mandrapick
ITEM_20150317_000074	This sword is said to clear its wielder's mind with its Mandragora essence.	마드라고라의 힘이 깃들어 착용자의 정신을 맑게 한다고 합니다.	Pedang ini dapat membersihkan pikiran pemegannya dengan jiwa mandragora.
ITEM_20150317_000075	Wizard Blade	위저드 블레이드	Wizard Blade
ITEM_20150317_000076	You should never ridicule a wizard for wielding a sword, especially if that sword is the Wizard Blade.	마법사가 검을 사용한다고 우습게 보면 안 됩니다. 특히 그 검이 위저드 블레이드라면 더욱 그렇습니다.	Jangan pernah meremehkan wizard yang memegang pedang, apalagi jika pedang yang digunakan adalah Wizard Blade.
ITEM_20150317_000077	Cheminis Sword	케미니스 소드	Cheminis Sword
ITEM_20150317_000078	This sword is made from a recipe developed by an alchemist from the Winterspoon family, who claimed that he could make a better sword than a blacksmith.	오래전 윈터스푼 가문의 알케미스트가 대장장이보다 나은 검을 만들 수 있다고 주장하고 내놓은 제조법에 기반한 검입니다.	Pedang ini dibuat oleh keluarga alchemist winterspoon. Dikatakan pedang ini lebih baik daripada pedang yang dibuat oleh BlackSmith.
ITEM_20150317_000079	Austas	아우스타스	Austas
ITEM_20150317_000080	This sword is worthy of its steep price. However, merchants would prefer that you return to buy other weapons than continue using it for a long time.	비싼 가치를 하는 무기입니다. 다만 상인들은 당신이 이것을 오래 쓰기보다는 자주 사러 오기를 바랍니다.	Pedang ini pantas mendapatkan harga mahal. Namun pedagang pedang akan lebih suka kalau kamu kembali untuk membeli senjata lain daripada menggunakan satu senjata dalam waktu lama.
ITEM_20150317_000081	Miskas Sabre	미스카스 사브르	Miskas Sabre
ITEM_20150317_000082	This weapon will make your swordsmanship swifter.	당신의 검법을 더 날렵하게 만드는 무기입니다.	Senjata ini membuat kemampuan berpedangmu semakin cepat.
ITEM_20150317_000083	Imperni Sword	임페르니 소드	Imperni Sword
ITEM_20150317_000084	Veterans will often recount the thrill they experienced when advancing from a novice and first holding this sword.	검의 대가들도 초보티를 벗고 처음 이 검을 잡았을 때의 감격을 이야기하곤 합니다. 	Tidak sulit untuk menemukan veteran yang menceritakan pengalaman mereka dengan pedang ini.
ITEM_20150317_000085	Gritas	그리타스	Gritas
ITEM_20150317_000086	A sword used by valiant adventurers. Ironically, it is often found on strong monsters. A person who obtains this sword is unknowingly exacting revenge for its previous owner.	뛰어난 모험가들이 사용하던 검입니다. 역설적인 이유로 강한 몬스터들의 몸에 있는 경우가 많습니다. 이 검을 얻는 사람은 자기도 모르게 전주인의 복수를 하는 셈입니다.  	Pedang yang digunakan oleh petualang yang pemberani. Ironisnya, karena sering bertemu monster kuat, seseorang yang mendapatkan pedang ini memiliki dendam kepada pemilik sebelumnya
ITEM_20150317_000087	Spatha	스파타	Spatha
ITEM_20150317_000088	An improved version of the Gladius made by extending the blade length.	검날의 길이를 늘려 글라디우스의 부족한 점을 보와한 검입니다. 	Versi yang lebih kuat dari gladius dengan menambahkan panjang mata pisaunya.
ITEM_20150317_000089	Aras' Falchion	아라스의 폴쳔	Aras Falchion
ITEM_20150317_000090	This weapon gives you the opportunity to experience the capabilities of a Falchion.	폴쳔의 성능을 체험할 기회를 드립니다.	Senjata ini memberikanmu kesempatan untuk merasakan Falchion dengan kualitas terbaik.
ITEM_20150317_000091	Smith Sword	스미스 소드	Smith Sword
ITEM_20150317_000092	- 2% chance to inflict an additional 600% damage	 - 공격시 2% 확률로 +600% 피해	2% kemungkinan menyebabkan tambahan +600% damage.
ITEM_20150317_000093	This sword occasionally gleams with the craftsmanship of its creator.	가끔 대장장이의 웅혼한 혼을 보여주기도 합니다.	Pedang ini bersinar saat dibuat oleh pembuatnya.
ITEM_20150317_000094	Klavis Sword	클라비스 소드	Klavis Sword
ITEM_20150317_000095	Despite its quality, it sells relatively well.	성능에 비해서는 잘 팔리는 편입니다.	Dibandingkan kualitasnya, penjualannya cukup laku.
ITEM_20150317_000096	Dio Sword	디오 소드	Dio Sword
ITEM_20150317_000097	Thresh Sword	트레시 소드	Thresh Sword
ITEM_20150317_000098	Sestas Sword	세스타스 소드	Sestas Sword
ITEM_20150317_000099	Dratt Sword	드라트 소드	Drat Sword
ITEM_20150317_000100	Aston Sword	아스턴 소드	Aston Sword
ITEM_20150317_000101	Devi Sword	데비 소드	Devi Sword
ITEM_20150317_000102	Prima Sword	프리마 소드	Prima Sword
ITEM_20150317_000103	Trinity Sword	트리니티 소드	Trinity Sword
ITEM_20150317_000104	If you're unsatisfied with one type of Falchion, this is an alternative. However, you'll have to bear the extra cost for its crafting.	한 종류의 폴쳔으로 만족하지 못한다면 그 적절한 대안입니다. 물론 제조비용이 따릅니다.	Jika kamu tidak puas dengan satu jenis falchion, inilah solusinya. Namun kamu harus menambah pembayaran untuk biaya pembuatannya.
ITEM_20150317_000105	Durandal	듀란달	Durandal
ITEM_20150317_000106	Many adventurers name their best sword after this weapon. This was the name of the sword wielded by an ancient warrior chosen by a goddess.	많은 이들이 스스로 훌륭하다고 생각하는 검에 이 이름을 붙이려고 합니다. 고대에 선택받은 여신의 용사가 사용했다던 검의 이름입니다.	Banyak petualang yang menamakan pedang terbaiknya seperti nama pedang ini. Namanya berasal dari senjata yang dipakai oleh Ancient Goddess.
ITEM_20150317_000107	Velniup	벨니웁	Velniup
ITEM_20150317_000108	People will even go so far as to say that this weapon is overly cruel.	심지어 어떤 사람들은 이 검이 너무 잔혹한 무기라고까지 말합니다.	Orang-orang menganggap senjata ini adalah senjata yang sadis.
ITEM_20150317_000109	Fortis	포르티스	Fortis
ITEM_20150317_000110	While unpopular during the Great Plant Cataclysm, the resurgence of strongly armored monsters is proving its value.	식물재앙 초기에는 인기가 없었으나 몬스터 가운데 강한 방어력을 지닌 것들이 발견됨에 따라 재평가되고 있습니다.	Tidak populer selamaGreat Plant Catalysm, kebangkitan monster  dengan pertahanan yang kuat membuktikan nilainya.
ITEM_20150317_000111	Chapparition Cutter	채퍼리션 커터	Chapparition Cutter
ITEM_20150317_000112	According to a theory, this sword is also used in conflicts amongst the demons.	일설에 따르면 마족들간의 분쟁에도 이 검이 사용된다고 합니다.	Berdasarkan teori, pedang ini juga digunakan oleh Demon.
ITEM_20150317_000113	Deathweaver Cutter	데스위버 커터	Deathweaver Cutter
ITEM_20150317_000114	One becomes the deathbringer by wielding this blade.	이제부터는 당신이 죽음을 자아내는 자가 되어야 합니다.	Pemegang pedang ini akan menjadi Pembawa kematian. / Sekarang kau pemilik pedang ini, Kau pasti akan menjadi pembawa kematian.
ITEM_20150317_000115	Chapparition Sword	채퍼리션 소드	Chapparition Sword
ITEM_20150317_000116	This serves as indirect evidence for the disputes between demons.	마족간에 분쟁이 존재한다는 간접 증거이기도 합니다.	Pedang ini juga bukti secara langsung kalau ada perselihan dengan Demon.
ITEM_20150317_000117	Bendras Sword	벤드라스 소드	Bendras Sword
ITEM_20150317_000118	A sword carrying the might of a goddess that has smited many evils in the past.	여신의 권능이 일부 깃든 이 검은 고대로부터 많은 악을 처단했습니다.	Pedang yang membawa kekuatan Goddess  yang membasmi kejahatan di masa lalu.
