QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20150317_000002	Note the long way Hashipusho.	먼 길 조심하십쇼.	Catatan perjalanan panjang Hashipusho.
QUEST_UNUSED_20150317_000003	So. Korezo. Pardoner does not allow you to introductory. Sound fall that silver was Like this donation was bought {nl} indulgences leads to our salvation. {nl} wealth also, that it be noted that it is a great blessing of goddess.	그래. 이거야. 파드너로 입문을 허락하지.{nl}면죄부를 산 은화 한 닢이 헌금함에 떨어지는 소리가 우릴 구원으로 이끌지.{nl}재물 또한 여신의 커다란 축복이라는 것을 명심하게.	Jadi. Korezo. Pardoner tidak mengijinkan kamu untuk memperkenalkan diri. Suara silver jatuh untuk donasi ini telah dibeli {nl} pengampunan dosa yang membimbing keselamatan kita. {nl} Juga kekayaan, harap dicatat itu adalah blessing dari Goddess.
QUEST_UNUSED_20150317_000004	Pardoner be viewed back to your master Te. {nl} if had the fire pot looking for a very long time.	어서 파드너 마스터께 돌아가 보게.{nl}그 불항아리를 아주 오랫동안 찾고 계셨거든.	Pardoner dilihat kembali ke Master Te. {nl} Jika punya fire pot yang dicari-cari selama ini.
QUEST_UNUSED_20150317_000005	Gatekeeper Owl Sculpture	문지기 부엉이 조각상	Gatekeeper Owl Image
QUEST_UNUSED_20150317_000006	Or Tesla-like has created us by cutting the tree. {nl} So, we owl, you always say want to return the favor. {nl}	테슬라님은 나무를 깎아서 우릴 만드셨어요.{nl}그래서 우리 부엉이들은 항상 은혜를 갚고 싶어 한답니다.{nl}	Atau Tesla-sepertinya telah menciptakan kita dengan memotong pohon. {nl} Jadi, kami owl, kamu selalu mengatakan ingin membalas budi. {nl}
QUEST_UNUSED_20150317_000007	So I what is. You may ask. Would you like Tesla electrolysis collected sculpture of marble from {nl} Cathedral?	그래서 말인데요. 부탁드릴 것이 있어요.{nl}대성당에서 대리석 조각을 모아서 테슬라님께 전해 주실 수 있을까요?	Jadi aku ini apa. Kamu mungkin bertanya. Apakah kamu ingin Tesla electrolysis mengumpulkan sculpture of marble dari {nl} Cathedral?
QUEST_UNUSED_20150317_000008	If marble of the cathedral, but it likes Tesla-like?	대성당의 대리석이라면 테슬라님께서 좋아하시겠지요?	Jika marble of the cathedral, tapi itu seperti yang Tesla suka?
QUEST_UNUSED_20150317_000009	If it were a gift of owl image {nl} the babe, but evidence for my life. {nl}	부엉이 조각상들의 선물인가?{nl}그 귀여운 녀석들은 내 삶에 대한 증거이지. {nl}	Jika itu adalah sebuah hadiah dari Owl Image {nl} seorang bati, tapi sebuah bukti untuk hidupku. {nl}
QUEST_UNUSED_20150317_000010	Anyway .. What seemed happy visitor comes something today, I will Hey drawing.	어쨌든.. 오늘 어쩐지 반가운 손님이 오실 것 같더라니, 고맙네그려.	Ngomong-ngomong .. Apa yang membuat pengunjung senang hari ini, Aku akan menggambar Hey.
QUEST_UNUSED_20150317_000011	When I saw the first time in your Klaipeda, it was thought to be whether the delicate arm sword Ya can shake. {nl} But, now I became a hero in the hero that many people praise. {nl}	자네를 클라페다에서 처음 봤을 땐 그 가녀린 팔로 검이나 휘두를 수 있을까 싶었었지.{nl}허나 지금은 많은 이들이 칭송하는 용사 중의 용사가 되었구나.{nl}	Ketika aku pertama kali melihat di Klaipeda, aku dianggap lemah apakah aku bisa mengangkat pedangnya. {nl} Tapi, sekarang aku menjadi seorang pahlawan dan banyak orang yang memujiku.
QUEST_UNUSED_20150317_000012	However, I want to make sure your courage directly. banshee {nl} covers the evil aura the dark forest. You are not a proper challenge harder ones.	하지만 난 자네의 용기를 직접 확인하고 싶어.{nl}이 어두운 숲을 사악한 기운으로 뒤덮는 밴시.. 자네에겐 적당한 도전이 아닌가 싶군.	Namun, Aku ingin memastikan keberanianmu secara langsung. Banshee {nl} menutupi aura jahat dark forest. Bagi Kamu bukan tantangan yang sulit.
QUEST_UNUSED_20150317_000013	Isolation. Just merely hunting. In {nl}, Itogetone waiting on the Klaipeda.	별거 아닐세. 그저 사냥일 뿐이지.{nl}그럼, 클라페다에서 기다리고 있겠네.	Isolasi. Hanya sekedar berburu. Di dalam {nl}, Itogetone sedang menunggu di Klaipeda.
QUEST_UNUSED_20150317_000014	Have been. Was waiting. {nl} would be given a reward worthy of your container if this degree.	왔군. 기다리고 있었네.{nl}이 정도면 자네의 용기에 걸맞은 보상일 거야.	Sudah. Sedang menunggu. {nl} Akan diberikan sebuah hadiah yang sesuai dengan kotak pada level ini.
QUEST_UNUSED_20150317_000015	Hehe, I'm really enthusiastic. {nl} I remembered when you were still convergence wizard. Then also you were really enthusiastic. {nl}	후후, 정말 열심이네. {nl}네가 아직 수습 위저드였을 때가 생각났어. 그때도 넌 참 열심이었지..{nl}	Hehe, Aku sangat antusias. {nl} Aku ingat ketika kamu masih sebagai wizard pemula. Lalu kamu juga sangat antusias. {nl}
QUEST_UNUSED_20150317_000016	Now I want to know you grew how. If {nl} banshee et al defile the forest, do not you to the appropriate challenge?	지금의 네가 얼마나 성장했는지 알고 싶어.{nl}이 숲을 더럽히는 밴시들이라면 네게 적당한 도전이 아닐까?	Sekarang aku ingin tahu bagaimana perkembanganmu. Jika {nl} Banshee et al defile Forest, Bukankah ini tantangan yang layak untukmu?
QUEST_UNUSED_20150317_000017	Rather than test, it is considered to be a good thing. In {nl}, and later also met at the Klaipeda.	시험보다는 좋은 일을 한다고 생각하는 거야.{nl}그럼, 나중에 클라페다에서 또 만나.	Daripada tes, itu dianggap sesuatu yang baik. Di dalam {nl}, dan nanti bertemu di Klaipeda.
QUEST_UNUSED_20150317_000018	Yes, brilliantly Hatchiu~otone. and {nl} is a what kind of figure is when the next meet, further anxious?	그래, 멋지게 해치웠네.{nl}다음에 만날 땐 어떤 모습일지 더욱 궁금해지는걸?	Ya, Brilliantly Hatchiu~otone. Dan {nl} adalah sosok ketika bertemu selanjutnya, masih cemas?
QUEST_UNUSED_20150317_000019	Plate when you saw the first time, I wonder not die immediately parser too stand up. I thought. {nl} now I think that it has become more famous than me. {nl}	널 처음 보았을 땐 너무 어설퍼서 금방 죽지 않을까.. 싶었는데.{nl}지금은 나보다도 더 유명해진 것 같아.{nl}	Plate ketika kamu melihat pertama kali, Aku heran tidak segera mati parser juga berdiri. Aku pikir. {nl} Sekarang aku pikir itu menjadi lebih terkenal dariku. {nl}
QUEST_UNUSED_20150317_000020	You will really try to the will bet described meets applied to its reputation. {nl} it is to exterminate all the nasty banshee covering this forest. How is it?	네가 정말 그 명성에 걸맞는지 나와 내기를 해 볼까.{nl}이 숲을 뒤덮고 있는 역겨운 밴시들을 모두 처치하는 거지. 어때?	Kamu yakin mencoba bertaruh melihat reputasinya. {nl} Itu untuk membasmi semua Banshee jahat yang ada di hutan ini. Bagaimana?
QUEST_UNUSED_20150317_000021	What so I'm going important that actually bet. I met me is, it is not more important. In {nl}, waiting on the Klaipeda.	사실 내기가 뭐 그리 중요하겠어. 날 만난 게 더 중요하지.{nl}그럼, 클라페다에서 기다리겠어.	Apa yang menjadikan aku penting dari benar-benar bertaruh. Bertemu denganku, itu tidka lebih penting. Sedang {nl}, menunggu di Klaipeda.
QUEST_UNUSED_20150317_000022	Have been. You really've got to impress me. {nl} Do you accept now expect a more grown-up appearance?	왔군. 넌 정말 날 감탄하게 하는구나.{nl}다음엔 더 성장한 모습을 기대해도 되겠지?	Sudah. Kamu benar-benar membuatku terkesan. {nl} Apakah sekarang kamu menerima penampilan yang lebih dewasa?
