ETC_20150317_000001	Kepa	Kepa
ETC_20150317_000002	The Kepa is not a strong monster. However, attacking it recklessly may bring you to tears.	Monster yang tidak begitu kuat, tapi bisa membuatmu menangis jika menyerangnya terburu-buru.
ETC_20150317_000003	Large Kepa	Large Kepa
ETC_20150317_000004	There are people who try to eat the Large Kepa sometimes. Don't let them.	Terkadang ada banyak orang yang mencoba memakan Large Kepa, tolong hentikan kebiasaan itu.
ETC_20150317_000005	Red Kepa	Red Kepa
ETC_20150317_000006	Contrary to popular belief, it's the Red Kepas that are most similar to the original Kepa.	Kepa yang ini cukup unik, Red Kepa lebih mirip seperti Kepa biasa.
ETC_20150317_000007	Poisoned Kepa	Poisoned Kepa
ETC_20150317_000008	Monster	Monster
ETC_20150317_000009	Hamming	Hamming
ETC_20150317_000010	Despite its tough skin, the Hamming is a fairly feeble monster.	Hamming cukup mudah diatasi sebagai lawan,tapi kulitnya sangat keras.
ETC_20150317_000011	Chinency	Chinency
ETC_20150317_000012	Originally stalks of plants, the Chinency have since evolved to their current form.	Monster yang memiliki perbedaan tampilan dengan stem tanaman karena mengalami perubahan bentuk.
ETC_20150317_000013	Mutant Chinency	Mutant Chinency
ETC_20150317_000014	Jukopus	Jukopus
ETC_20150317_000015	Very little is known about the Jukopus' internal structure.	Struktur bagian dalam Jupokus adalah suatu penelitian yang belum teridentifikasikan.
ETC_20150317_000016	Blue Jukopus	Blue Jukopus
ETC_20150317_000017	Gray Jukopus	Gray Jukopus
ETC_20150317_000018	Depending on its maturity, this monster may develop a variety of different combat techniques.	Monster yang menyerang dengan berbagai teknik tergantung tingkat kedewasaannya.
ETC_20150317_000019	Pokuborn	Pokuborn
ETC_20150317_000020	Yellow Pokuborn	Yellow Pokuborn
ETC_20150317_000021	Blue Pokuborn	Blue Pokuborn
ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	Banyak hal yang harus diwaspadai dari mahluk ini, yang pasti jangan sampai diseruduk olehnya.
ETC_20150317_000023	Green Pokuborn	Green Pokuborn
ETC_20150317_000024	Even after mutating, their meat is still edible.	Setelah berubah menjadi monster, memiliki keuntungan dimana dagingnya bisa didapatkan.
ETC_20150317_000025	Blue Pokubu	Blue Pokubu
ETC_20150317_000026	Banshee	Banshee
ETC_20150317_000027	The souls of those who ventured to the underworld now appear as demons.	Jiwa orang-orang yang telah menapakkan kakinya pada dunia iblis karena berbagai alasan dan menjadi Demon lalu muncul di dunia.
ETC_20150317_000028	Red Banshee	Red Banshee
ETC_20150317_000029	Evil Spirit	Evil Spirit
ETC_20150317_000030	A soul that did not receive the guidance of the goddess. It was born through demonic control.	Jiwa-jiwa yang tidak mendapatkan petunjuk dari Goddess  akan terlahir kembali untuk dikendalikan oleh Demon.
ETC_20150317_000031	Large Banshee	Large Banshee
ETC_20150317_000032	Beehive	Bee Hive
ETC_20150317_000033	Blue Beehive	Blue Bee Hive
ETC_20150317_000034	Grey Beehive	Gray Bee Hive
ETC_20150317_000035	Red Beehive	Red Bee Hive
ETC_20150317_000036	Bushspider	Bushspider
ETC_20150317_000037	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time.	Merupakan monster hama raksasa yang menjadi lebih besar dengan berhabitatdi dalam hutan.
ETC_20150317_000038	Black Bushspider	Black Bushspider
ETC_20150317_000039	Red Bushspider	Red Bushspider
ETC_20150317_000040	White Bushspider	White Bushspider
ETC_20150317_000041	Yellow Bushspider	Yellow Bushspider
ETC_20150317_000042	Disgusting Dionia	Disgusting Dionia
ETC_20150317_000043	Dionia Poza	Dionia Poza
ETC_20150317_000044	Blue Fragaras	Blue Fragaras
ETC_20150317_000045	This monster grew bigger in size, but not much has changed.  In the past, this still used to be a deadly and vicious plant.	Walau lebih besar ukurannya dibandingkan sebelum melakukan berubah bentuk, tidak terlalu banyak perbedaan. Tetapi sejak sebelumnya merupakan tumbuhan yang berbahaya.
ETC_20150317_000046	Black Fragaras	Black Fragaras
ETC_20150317_000047	Red Fragaras	Red Fragaras
ETC_20150317_000048	Vubbe Fighter	Vubbe Fighter
ETC_20150317_000049	Blue Vubbe Fighter	Blue Vubbe Fighter
ETC_20150317_000050	Red Vubbe Fighter	Red Vubbe fighter
ETC_20150317_000051	It is unknown whether Vubbe Fighters are trained, or just have a natural aptitude for combat.	Tidak diketahui apakah Vubbe Fighter dilahirkan atau memang mempunyai bakat alam untuk bertarung.
ETC_20150317_000052	Golem	Golem
ETC_20150317_000053	Gray Golem	Gray Golem
ETC_20150317_000054	Meduja	Meduja
ETC_20150317_000055	Some people say a Meduja can be used to contact the souls of the dead.	Beberapa orang mengatakan, bahwa dengan melalui meduja dapat melakukan kontak dengan jiwa-jiwa yang telah mati.
ETC_20150317_000056	Blue Meduja	Blue Meduja
ETC_20150317_000057	Green Meduja	Green Meduja
ETC_20150317_000058	Red Meduja	Red Meduja
ETC_20150317_000059	Researchers have asserted that plants have souls. The Meduja are the mutated form of such souls.	Para peneliti mengatakan, terdapat jiwa di dalam tumbuhan dan tumbuhan yang berubah bentuk tersebut yang dinamakan meduja.
ETC_20150317_000060	Meduja Larva	Meduja Larva
ETC_20150317_000061	Ellaganos	Elaganos
ETC_20150317_000062	Bite	Bite
ETC_20150317_000063	Some say they would rather choose to take an arrow than experience a bite by the Bite.	Beberapa orang mengatakan, lebih baik terkena panah daripada digigit oleh mereka ini.
ETC_20150317_000064	Puragi	Puragi
ETC_20150317_000065	It's a forgotten secret that the Demons secretly deployed the Puragis to attack Ruklys' soldiers during the civil war.	Pada saat Perang saudara Ruklys, kaum demon menaruh mereka secara diam-diam untuk menyerang para pasukan Ruklys, hal merupakan rahasia dari sejarah yang disembunyikan
ETC_20150317_000066	Blue Puragi	Blue Puragi
ETC_20150317_000067	Blue Puragis love to kill and pillage.	Mereka suka merampas dan membantai dibandingkan Puragi lainnya.
ETC_20150317_000068	Green Puragi	Green Puragi
ETC_20150317_000069	No one has ever seen the face hidden behind its mask.	Topeng jerami yang bagian dalamnya tidak pernah dilihat oleh siapapun.
ETC_20150317_000070	Red Puragi	Red Puragi
ETC_20150317_000071	Large Puragi	Large Puragi
ETC_20150317_000072	Zigri	Zigri
ETC_20150317_000073	Brown Zigri	Brown Zigri
ETC_20150317_000074	These demon minions enjoy slaughter.	Kaum demon yang menyukai pembantaian.
ETC_20150317_000075	Black Zigri	Black Zigri
ETC_20150317_000076	A demon minion found throughout the world.	Kaum Demon ini  tersebar dengan bebas di seluruh dunia.
ETC_20150317_000077	Red Zigri	Red zigri
ETC_20150317_000078	Fisherman	Fisherman
ETC_20150317_000079	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures.	Alasan Fisherman termasuk dalam Monster mutasi adalah karena tali pancing memberikan pengaruh terhadap kehidupan.
ETC_20150317_000080	Blue Fisherman	Blue Fisherman
ETC_20150317_000081	Green Fisherman	Green Fisherman
ETC_20150317_000082	Red Fisherman	Red Fisherman
ETC_20150317_000083	This fisherman's actions are often unexplainable.	Masih banyak kelakuan para Fisherman yang belum dapat dijelaskan.
ETC_20150317_000084	Gribaru	Gribaru
ETC_20150317_000085	Its head stem can be used for various purposes, such as releasing attractants and detecting hidden targets.	Bagian kepala banyak digunakan untuk pendeteksi dan penarik perhatian.
ETC_20150317_000086	Big Gribaru	Big Gribaru
ETC_20150317_000087	Thorn Forest Griba	Thorn Forest Griba
ETC_20150317_000088	Matsum	Matsum
ETC_20150317_000089	Whether the Matsum originated from a plant, animal, or mineral is unimportant. What you should know is that its dangerous.	Matsum adalah monster berasal ekstrak tanaman dan hewan, atau barang tambang. Yang perlu diketahui adalah ia berbahaya.
ETC_20150317_000090	Matsuma	Matsuma
ETC_20150317_000091	Mirtis Ego	Mirtis Ego
ETC_20150317_000092	Molich	Molich
ETC_20150317_000093	Mini Griba	Mini Griba
ETC_20150317_000094	Green Griba	Green Griba
ETC_20150317_000095	Red Griba	Red Griba
ETC_20150317_000096	Although their bright color makes them pretty visible, it's still hard to evade their attacks.	Memiliki warna yang terang dan mencolok namun tidaklah mudah untuk dihindari.
ETC_20150317_000097	Yellow Griba	Yellow Griba
ETC_20150317_000098	Large Red Griba	Large Red Griba
ETC_20150317_000099	Big Griba	Big Griba
ETC_20150317_000100	This monster was once described as hard to block and hard to eat.	Seseorang pernah mengkritik  monster ini, sulit untuk dihalangi dan sulit dimakan.
ETC_20150317_000101	Big Blue Griba	Big Blue Griba
ETC_20150317_000102	A large, strong, tough monster and reluctant prey of hunters.	Merupakan monster yang sengaja dihindari ketika pergi hunting, karena kuat dan a lot
ETC_20150317_000103	Big Green Griba	Green Big Griba
ETC_20150317_000104	Big Red Griba	Red Big Griba
ETC_20150317_000105	Old Kepa	Old Kepa
ETC_20150317_000106	Kepa age quickly at the expense of their strength. Be careful of its pungent odor, which has gotten stronger with age.	Kepa yang telah memekarkan bunga. Harap berhati-hati karena memiliki aroma pedas yang lebih kuat.
ETC_20150317_000107	Gelsvas Old Kepa	Gelsvas Old Kepa
ETC_20150317_000108	Black Old Kepa	Black old Kepa
ETC_20150317_000109	Red Old Kepa	Red old Kepa
ETC_20150317_000110	Its dilapidated color from aging only substantiates its danger.	Kepa yang bertahan hidup lama karena akan berubah warnanya menjadi lebih tua, lebih berbahaya.
ETC_20150317_000111	Large Old Kepa	Large old Kepa
ETC_20150317_000112	Rafflesia	Rafflesia
ETC_20150317_000113	Green Rafflesia	Green Rafflesia
ETC_20150317_000114	Black Rafflesia	Black Rafflesia
ETC_20150317_000115	This plant's leaves are stronger than leather.	Daun Tanaman ini lebih kuat daripada kulit hewan.
ETC_20150317_000116	Red Rafflesia	Red Rafflesia
ETC_20150317_000117	Raffly	Raffly
ETC_20150317_000118	Even after undergoing mutations, Raffly continue to hunt small insects.	Walau Raffly telah bermutasi, ia tetap memburu serangga kecil
ETC_20150317_000119	Blue Raffly	Blue Raffly
ETC_20150317_000120	Gray Raffly	Gray Raffly
ETC_20150317_000121	Black Raffly	Black Raffly
ETC_20150317_000122	Ridimed	Ridimed
