QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150317_000002	Statue of Goddess Vakarine	Goddess Vakarine Statue
QUEST_20150317_000003	Please select a territory.	Silahkan pilih territory.
QUEST_20150317_000004	Select	Pilih
QUEST_20150317_000005	Please select an item.	Pilih item yang di inginkan.
QUEST_20150317_000006	Select Group	Pilih Grup
QUEST_20150317_000007	Please select a cheat start group.	Silahkan pilih cheat start group.
QUEST_20150317_000008	Select Zone	Pilih Zone
QUEST_20150317_000009	Please select a starting zone.	Silahkan pilih starting zone.
QUEST_20150317_000010	Select Advancement	Pilih Advancement
QUEST_20150317_000011	Please select a class.	Silahkan pilih class
QUEST_20150317_000012	Bokor Master	Bokor Master
QUEST_20150317_000013	So you are curious about this stone slate. {nl}If you wish, I shall show you the will of its creator.	Kamu ingin tahu tentang batu slate ini?  {nl} Aku akan memberikan penglihatan dari sang pembuat slate ini.
QUEST_20150317_000014	Goddess Laima	Goddess Laima
QUEST_20150317_000015	By the time you get this message, much time will have passed. {nl}I am Laima, the goddess of fate and wisdom.	Seiring dengan waktu kamu melihat wahyu ini, akan memakan waktu yang panjang.  {nl} Aku adalah Laima,  Goddess of Fate and Wisdom.  {nl}
QUEST_20150317_000016	600 years ago while creating this revelation, I foresaw a great deal of death and suffering. {nl}If you are seeing this, then I am afraid what I foresaw has come to pass.	Saat aku membuat wahyu ini sekitar 600 tahun lalu, Aku melihat banyak kesedihan dan kematian.  {nl} Jika kamu sudah melihat wahyu ini berarti semua yang aku ramalkan telah menjadi kenyataan.  {nl}
QUEST_20150317_000017	The demons have started the first of cataclysms, and the goddesses have vanished. {nl}I knew all of this would occur and did everything I could to prevent this fate, but my power was not enough.	Bencana yang pertama disebabkan oleh Demon, dan semua Goddess akan menghilang.  {nl} Aku sudah tahu akan semua ini dari awal dan mencoba untuk mencegahnya, namun kekuatanku tidak cukup.  {nl}
QUEST_20150317_000018	Instead, I wandered through far-seeing dreams for an answer. {nl}You were at the end of them... a Savior.	Aku melewati banyak mimpi demi mendapatkan jawaban.  {nl} Dan akhirnya aku memimpikan tentang dirimu.. The Savior.  {nl}
QUEST_20150317_000019	Unfortunately, the demons could not stay still, knowing that I possess strength in clairvoyance. {nl}I was forced to hide until the time of your appearance.	Namun bagaimanapun, mengetahui kekuatanku yang dapat meramal takdir, para Demon tidak akan membiarkanku begitu saja  {nl}jadi aku harus bersembunyi agar dapat bertemu dirimu.  {nl}
QUEST_20150317_000020	I decided to divide my being and remain within many revelations. {nl} Revelations that I continued to create secretly over a millennium.	Aku memutuskan untuk membagi diriku sendiri menjadi beberapa buah wahyu.  {nl} Membuatnya dan menyembunyikan diriku di sekitar area kerajaan selama ribuan tahun.  {nl}
QUEST_20150317_000021	Savior, if you can help me regain my form, we can stop the demons' sinister plans.{nl}You must recover the revelations that I have hidden throughout every axes of time.	Untuk Savior.  {nl} demi aku dan menghentikan para Demon,  {nl}kamu harus menemukan seluruh wahyu melewati ruang dan waktu.
QUEST_20150317_000022	This divine task may be a heavy burden, but it is something you must bear. {nl}Perhaps in the muddy midst of your trials and tribulations, something may come about.	Beban dari tugas yang suci ini mungkin akan cukup memberatkanmu.  {nl} .  {nl}
