QUEST_JOBSTEP_20150317_000001	Bokor. You’ve chosen a difficult path. {nl}Refer to the instructions in your Adventure Journal and make your own doll.	Bokor. Kamu memilih jalan yang sulit. {nl}Ikuti instruksi pada Adventure Journal dan buat doll milikmu sendiri.
QUEST_JOBSTEP_20150317_000002	You must make a doll by yourself. {nl}Check your Adventure Journal to see how you can make the doll. 	Kamu hanya bisa mendapatkannya dari dirimu sendiri. {nl}Periksa Adventure Journal untuk tahu cara membuat doll. 
QUEST_JOBSTEP_20150317_000003		Selamat, seorang Bokor baru telah terlahir. {nl}Saat pertama kali aku terpilih menjadi Bokor, Aku memulainya dengan membuat doll milikku sendiri. 
QUEST_JOBSTEP_20150317_000004	Peltasta Master	Peltasta Master
QUEST_JOBSTEP_20150317_000005		Jika kamu ingin menerima ajaranku maka kamu harus membuktikan bahwa dirimu pantas.{nl}Ini Tantangannya: Kalahkan beberapa Vubbe di 1st Floor of the Crystal Mine.
QUEST_JOBSTEP_20150317_000006	How can you bear the title of Peltasta if you can't even handle that much? 	Bagaimana kamu bisa menjadi Peltasta jika tidak mampu melakukan hal itu? 
QUEST_JOBSTEP_20150317_000007	Good. {nl}I hope your new growth leads to you saving the world. 	Bagus. {nl}Semoga perkembangan kamu yang baru ini dapat membawamu untuk menyelamatkan dunia. 
QUEST_JOBSTEP_20150317_000008	Highlander Master	Highlander Master
QUEST_JOBSTEP_20150317_000009		Aku sangat bersyukur kamu ingin menjadi penerus dari keahlian pedangku, tapi sepertinya kamu belum mampu belajar dariku.{nl}Aku ingin mengujimu dengan mengalahkan Vubbe yang berada di 1st floor of the Crystal Mine.
QUEST_JOBSTEP_20150317_000010	Hurry. {nl} Although this is your initiation challenge, the Vubbes are a threat to the Miners' Village.	Cepatlah. {nl} Itu hanya tantangan yang simpel, tapi Vubbe memang ancaman bagi Miner's Village.
QUEST_JOBSTEP_20150317_000011	Good work, you've completed your initiation in becoming a Highlander. {nl} Keep up the hard work and dedication.	Boleh juga, Aku akan mengijinkanmu belajar menjadi Highlander. {Nl} Teruskanlah kerja keras dan dedikasimu.
QUEST_JOBSTEP_20150317_000012	Pyromancer Master	Pyromancer Master
QUEST_JOBSTEP_20150317_000013		Sepertinya kamu ingin belajar magic dariku tapi aku tidak bisa mengajarkan begitu saja. {nl}Aku ingin lihat seberapa baik kamu dapat membantuku dalam penelitian setelah itu akan kuputuskan. 
QUEST_JOBSTEP_20150317_000014		Kerja yang bagus. Terima kasih untukmu sekarang aku dapat melanjutkan penelitianku. {nl}Aku akan mengajarimu Pyromancer magic seperti yang aku janjikan. 
QUEST_JOBSTEP_20150317_000015		Baiklah, kamu sudah disini. Aku membutuhkan bantuanmu untuk mengalahkan evil spirit yang akan aku summon. {nl}Aku akan merekam gelombang unik yang terpancar saat proses berlangsung. 
QUEST_JOBSTEP_20150317_000016		Aku sedang meneliti 4th tingkat dari kebendaan. {nl}Sangat tidak mungkin jika tanpa bantuan Bokor Master yang bisa berurusan dengan spirit. 
QUEST_JOBSTEP_20150317_000017	Yes, splendid. {nl}Tell the Pyromancer Master that we have all the materials we need. 	Ya, itu sangat hebat. {nl}Beritahu Pyromancer Master bahwa kita sudah memiliki semua bahan yang dibutuhkan. 
QUEST_JOBSTEP_20150317_000018		Bagus. {nl}Penelitian itu sudah diselesaikan oleh Bokor Master jadi temui dia dan dia akan memberitahu tugasmu. 
QUEST_JOBSTEP_20150317_000019	Cryomancer Master	Cryomancer Master
QUEST_JOBSTEP_20150317_000020		Kamu ingin mempelajari Cryomancer magic dariku? {nl}Tentu aku akan mengajarimu. Tapi sebelumnya kamu harus membereskan sesuatu. 
QUEST_JOBSTEP_20150317_000021	The Pyromancer Master should not be around. {nl}So it'll be an easy task.	Pyromancer Master tidak ada di sekitar sini. {nl}Baiklah, ini akan menjadi tugas yang mudah.
QUEST_JOBSTEP_20150317_000022	Don't feel guilty about it. You did a good job. {nl}I've got your back from now on, so you don't need to worry. 	Jangan merasa bersalah. Kamu melakukannya dengan baik. {nl}Aku akan membantumu mulai dari sekarang jadi jangan khawatir. 
QUEST_JOBSTEP_20150317_000023		Menyelinap ke Pyromancer Master's room dan membuka sebuah box. {nl}Dan apa yang ada di dalam box..  Ya, sebaiknya langsung kamu hancurkan. 
QUEST_JOBSTEP_20150317_000024		Sepertiny ini cukup. {nl}Magic dariku tidak mudah jadi sebaiknya kamu cepat mengerti. 
QUEST_JOBSTEP_20150317_000025	Your will to learn from me is good, but first I have a favor to ask. {nl}We can continue our talk if you are up for it. {nl}	Tekad kamu untuk belajar dariku itu sangat bagus tapi sebelumnya aku ingin minta bantuan. {nl}Kita dapat melanjutkan pembicaraan ini jika kamu mau melakukannya. {nl}
QUEST_JOBSTEP_20150317_000026	Lydia Schaffen's gears are like divine materials to us archers. {nl}I would give up my entire fortune just to have them.	Barang-barang Lydia Schaffen seperti divine material untuk kami para archer. {nl}Aku harap bisa memilikinya mesti harus menghabiskan semua keberuntunganku.
QUEST_JOBSTEP_20150317_000027	I never imagined that I would see this myself. {nl}Thank you. I will teach you thoroughly from now on, so you better be prepared. 	Aku tak pernah membayangkan bisa melihatnya secara langsung. {nl}Terima kasih. Aku akan mulai mengajarimu, jadi sebaiknya kamu bersiap. 
QUEST_JOBSTEP_20150317_000028	I heard the lost telescope lens from the Astral Tower is in Crystal Mine 1F. {nl}Get me that lens before the other masters find out and I'll teach you my techniques. 	Aku dengar bahwa telescope yang hilang dari Astral Tower ada di Crystal Mines 1st Floor. {nl}Carikan aku lensa itu sebelum para master yang lain mengetahuinya dan aku akan mengajarkanmu kemampuanku. 
QUEST_JOBSTEP_20150317_000029		Jadi kamu ingin belajar anak panah dariku.. Kalau begitu aku punya misi untukmu. {nl}Aku akan memutuskan tergantung dari hasil misi mu. 
QUEST_JOBSTEP_20150317_000030	Evoniphon...I will never forgive him.	Evoniphon.. Aku tidak akan pernah memaafkannya.
QUEST_JOBSTEP_20150317_000031	Hunter Master	Hunter Master
QUEST_JOBSTEP_20150317_000032		Kamu telah mengumpulkan semua book. Bagus sekali. {nl}Aku akan mengajarimu skill hunter seperti janjiku tadi. 
QUEST_JOBSTEP_20150317_000033		Kamu mendapatkan hasil yang baik. Aku akan mulai mengajarimu. {nl}Semoga kamu seperti ekspetasiku. 
QUEST_JOBSTEP_20150317_000034	I heard the bats in Crystal Mine 1F have a special type of venom. {nl}I'm sure it's the same venom used by the assassin Evoniphon. Bring me that venom.	Aku dengar Bat di Crystal Mines 1st Floor memiliki racun spesial. {nl}Aku yakin bahwa venom itu digunakan oleh assasin Evoniphon. Bawakan aku venom itu.
QUEST_JOBSTEP_20150317_000035	Barbarian Master	Barbarian Master
QUEST_JOBSTEP_20150317_000036		Kamu dapat mengeri kemampuan musuh dengan melawan mereka secara langsung pedang dengan pedang. {nl}Buktikan padaku kalau kamu memang pejuang sejati, dan aku akan memimpinmu menjadi seorang Barbarian.
QUEST_JOBSTEP_20150317_000037		Kamu terbukti pejuang yang hebat. {nl}Aku akan membuatmu menjadi Barbarian yang sesungguhnya. 
QUEST_JOBSTEP_20150317_000038		Aku mengerti kamu ingin menjadi lebih kuat dengan spear. {nl}Selesaikan misi yang aku berikan maka akan aku ajarkan keahlian spear.
QUEST_JOBSTEP_20150317_000039		Tolong bawakan aku kulit Groll dari Spineheart Dale, Chafperor Poison Darts dari The Fallen Worry Forest, dan Jukopus Black Powder dari Miners' Village.
QUEST_JOBSTEP_20150317_000040	I understand your will to become stronger. {nl}I also see that you may have what it takes to be good with spears.	Aku mengerti tekad kamu untuk menjadi sangat kuat. {nl}Aku akan membawa dirimu dan keahlian spear ini untuk menjadikanmu seorang ahli spear.
QUEST_JOBSTEP_20150317_000041	Psychokino Master	Psychokino Master
QUEST_JOBSTEP_20150317_000042		Jika kamu ingin paham mengenai Psychokino, bagaimana jika kamu bekerja sebagai asistenku?{nl}Aku menjamin itu akan menjadi pekerjaan yang menarik.
QUEST_JOBSTEP_20150317_000043		Tolong, pertama kalahkan Matsums di Spine Heart Dale dan kumpulkan flower alcohol. {nl}Mereka sangat mudah hancur jadi sulit untuk mendapatkan yang utuh.
QUEST_JOBSTEP_20150317_000044		Sempurna. Flower alcohol dari Matsums dalam keadaan baik. {nl}Sebentar lagi kamu akan melihat sesuatu yang menarik.
QUEST_JOBSTEP_20150317_000045		Sekarang pergilah ke Gintara Highway di Spine Heart Dale.{nl}Semprotkan obat cair ke experimental Matsum doll yang telah aku siapkan dan beritahu aku hasilnya.
QUEST_JOBSTEP_20150317_000046		Apakah Matsums menyerangmu? {nl}Sejak Matsums menerima Matsum dolls sebagai temannya, Aku anggap ini sukses. 
QUEST_JOBSTEP_20150317_000047		Bagus. {nl}Kamu bekerja sangat bagus sebagai asistenku, sekarang aku akan mengajari apa itu Psychkino sebenarnya. 
QUEST_JOBSTEP_20150317_000048		Penelitian Aku tentang metode psychokinesis dipindahkan ke sebuah benda . {nl}Dengan kata lain.. Ini adalah metode cuci otak dengan bantuan obat-obatan. 
QUEST_JOBSTEP_20150317_000049	Linker Master	Linker Master
QUEST_JOBSTEP_20150317_000050	Temperament is very important for Linkers. {nl}While it may be easy to shut out one's heart, opening it up requires a special kind of temperament. {nl}	Talenta sangat penting untuk Linker. {nl}Menutup hati seseorang mudah tetapi membuka hati butuh talenta khusus. {nl}
QUEST_JOBSTEP_20150317_000051	I will test you to see if you have such temperament. 	Aku akan mengujimu apakah kamu punya talenta itu. 
QUEST_JOBSTEP_20150317_000052		Bagus. Namun kamu harus mempersiapkan beberapa bahan sebelum tes. Ambilkan Dunball’s thorn dan Velwriggler’s carving di Gate Route.
QUEST_JOBSTEP_20150317_000053	Excellent! {nl}But this is just to prepare you for the test. {nl}	Bagus sekali. {nl}Tapi ini hanya persiapan kamu sebelum mengikuti tes.
QUEST_JOBSTEP_20150317_000054		Aku akan memulai tes nya. {nl}Dibalik Gate Route ada sobekan di langit dunia.{nl}
