QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150317_000002	If you choose to go to Klaipeda, I recommend taking the Shadow Forest Road.{nl}The deep woods are dangerous, so try to stay away from there if you can.	Jika kamu memilih pergi ke Klaipeda. Saya sarankan untuk lewat Shadow Forest Road {nl} sangat berbahaya berada didalam Hutan, usahakan menjauh dari hutan sebisa mungkin.
QUEST_LV_0100_20150317_000003	Man in Hiding	Laki-laki yang bersembunyi
QUEST_LV_0100_20150317_000004	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? Hey... Are there still Vubbes outside?	Akh… Akhirnya! Bala bantuan tiba? {nl} Huh!? Hanya seorang anak muda? Hey, apa Vubbes masih berada diluar sana?
QUEST_LV_0100_20150317_000005	Ugh. Go away! Don't talk to me! We'll get caught by the Vubbes!{nl}This is my place so leave!	Ugh…Menjauh dariku! Jangan berbicara padaku! Kita akan tertangkap oleh Vubbes! {nl} Ini tempatku, jadi pergilah dari sini!
QUEST_LV_0100_20150317_000006	What? Don't lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do not come near this barrel!	Apa! Jangan berbohong kepadaku! Aroma Vubbes sangat menyengat dihidungku!{nl}Kamu tidak bisa membodohiku! Enyahlah! Jangan mendekat disekitar barrel ini!
QUEST_LV_0100_20150317_000007	F-Finally...! Has help arrived?{nl}Huh?! It's just a kid? What are you looking at? Close the lid and move along!{nl}	Akh… Akhirnya! Bala bantuan tiba? {nl} Huh!? Hanya seorang anak muda? Apa yang kamu lihat? Tutup pintunya dan pergilah! {nl} 
QUEST_LV_0100_20150317_000008	What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!	Tetapi kertas yang kamu pegang…..terlihat tidak asing!? {nl} coba ku lihat! Apa yang kamu lakukan? Hey, orang dewasa sedang berbicara kepadamu!
QUEST_LV_0100_20150317_000009	This paper, it's mine! I'm never giving it away again!!{nl}It's... not something you need - I'll just rip it apart. There.	Ini!! Punyaku?! Aku tak akan pernah memberikannya lagi!! {nl} in bukanlah sesuatu yang kamu butuhkan. Aku akan merobeknya menjadi beberapa bagian!
QUEST_LV_0100_20150317_000010	Sheesh, that's lame...	Shhh, itu sangat memalukan…
QUEST_LV_0100_20150317_000011	After all the goddesses had vanished, these dreams were one of the first things that came up.{nl}Maybe one of these people will be the one who brings the goddesses back.	Ini adalah tanda awal setelah para Goddess  menghilang.{nl}Mungkin, dari sekian banyak orang, ada satu orang yang mampu membawa kembali Goddess .
QUEST_LV_0100_20150317_000012	Soldier Blak	Soldier Blak
