QUEST_LV_0200_20150317_000001	Philipas' Soldier	Philip's Soldiers
QUEST_LV_0200_20150317_000002	The monsters' attacks are becoming more violent. {nl} I'm determined to succeed, but I also fear for our safety.	Serangan para monster menjadi lebih ganas. {nl} Aku bertekad untuk berhasil, tetapi Aku juga khawatir akan keselamatan kita.
QUEST_LV_0200_20150317_000003	It doesn't matter - I can give up my life today, or be a dead man tomorrow.	Tidak masalah - Aku siap mengorbankan nyawa Aku hari ini, atau mati dihari esok.
QUEST_LV_0200_20150317_000004	Commander Vacenin	Commander Vacenin
QUEST_LV_0200_20150317_000005	Somehow, we need to resolve our poor supplies and forces. {nl}Once we accomplish that we will be able to break through the forest, piece by piece.	Entah bagaimana, kita harus mengatasi persediaan dan kekuatan kita yang mulai melemah. {nl} Setelah kita dapat menyelesaikan masalah tersebut, barulah kita bisa menerobos hutan sedikit demi sedikit.
QUEST_LV_0200_20150317_000006	Even though everyone's getting tired, we can't give up until Kateen Forest is ours again.	Walau semuanya lelah, kita tidak boleh menyerah hingga Kateen Forest berhasil direbut kembali.
QUEST_LV_0200_20150317_000007	Senior Officer Philipas	Senior Officer Philipas
QUEST_LV_0200_20150317_000008	I wish for a peaceful world. {nl}In order for this to happen, I need to work harder.	Aku mendambakan dunia yang damai. {nl} Untuk mencapainya, aku harus bekerja lebih keras.
QUEST_LV_0200_20150317_000009	I'll do anything to regain this forest from the monsters. {nl} It's worth risking my life for.	Aku akan melakukan apapun untuk merebut kembali hutan yang dikuasai para monster. {nl} Bahkan bila harus berkorban nyawa.
QUEST_LV_0200_20150317_000010	Our front line is composed exclusively of Philipas' troops. {nl} They'll follow Philipas' commands through anything.	Pasukan terdepan kita terdiri dari Monk khusus yang dipimpin Philip. {nl} Mereka akan mematuhi perintah Philip apapun yang terjadi.
QUEST_LV_0200_20150317_000011	Live with the idea that any moment could become your last. {nl} We must learn from the past and use it to our advantage.	Hiduplah dengan anggapan bahwa setiap momen adalah saat-saat terkahir kita. {nl} Belajarlah dari masa lalu dan gunakan itu sebagai keunggulan kita.
QUEST_LV_0200_20150317_000012	Officer Felix	Officer Felix
QUEST_LV_0200_20150317_000013	The Entrance of Kateen Forest is rather on the safe side, but please refrain from going any deeper than this.	Entrance of Kateen Forest terletak di zona yang sedikit lebih aman, namun sebisa mungkin jangan memasukinya lebih dalam.
QUEST_LV_0200_20150317_000014	Weak Owl Sculpture	Weak Owl Sculpture
QUEST_LV_0200_20150317_000015	My power is slowly weakening. {nl} Even though there are many souls that need guidance...	Kekuatanku perlahan melemah. {nl} Padahal di sana banyak jiwa-jiwa yang membutuhkan petunjuk...
QUEST_LV_0200_20150317_000016	Scared Owl Sculpture	Scared Owl Sculpture
QUEST_LV_0200_20150317_000017	The holy power of the forest is weakening. {nl} What will happen to us after it's gone?!	Kekuatan suci dari hutan ini melemah. {nl} Apa yang akan terjadi kepada kita apabila kekuatan tersebut menghilang?!
QUEST_LV_0200_20150317_000018	It's too scary. {nl}This never happened when the goddess was still around...	Ini sangat menakutkan. {nl} Hal Ini tidak pernah terjadi saat Goddess masih ada…
QUEST_LV_0200_20150317_000019	Sincere Owl Sculpture	Sincere Owl Sculpture
QUEST_LV_0200_20150317_000020	This forest is cursed... it consumes the owls. {nl} I have hardly anything to compel bravery from others.	Hutan ini dikutuk... dan mengkonsumsi para Owl. {nl} Aku nyaris tidak dapat mengeluarkan semua keberanian dari yang lain.
QUEST_LV_0200_20150317_000021	Ever since that huge tree suddenly arose, this forest has changed into something horrid. {nl} Even the trees' roots frighten whoever stares at them.	Semenjak pohon besar itu tumbuh secara tiba-tiba, hutan ini telah berubah menjadi tempat yang sangat menakutkan dan angker. {nl} Bahkan akar pohon itu memberikan rasa takut kepada siapa pun yang melihatnya.
QUEST_LV_0200_20150317_000022	Devoted Owl Sculpture	Devoted Owl Sculpture
QUEST_LV_0200_20150317_000023	Someone was held captive. {nl} I have a feeling he's going to disappear...	Seseorang telah ditawan. {nl} Aku merasakan bahwa keberadaannya mulai menghilang...
QUEST_LV_0200_20150317_000024	The sacred force created by the goddess has not completely disappeared. {nl}Will it be able to suppress this devastation? {nl}	Kekuatan suci yang diciptakan oleh Goddess belum sepenuhnya menghilang. {nl} Akankah kekuatan itu mampu menghentikan bencana ini? {nl}
QUEST_LV_0200_20150317_000025	The chief gave me power.{nl}I won't be scared.	Chief telah memberikan Aku kekuatan. {nl} Aku tidak akan takut.
QUEST_LV_0200_20150317_000026	I'm not going to be afraid anymore. I will never be eaten by monsters.	Aku tidak akan takut lagi.{nl} Aku tak akan pernah dimangsa oleh para monster.
QUEST_LV_0200_20150317_000027	Troubled Owl Sculpture	Painful Owl Sculpture
QUEST_LV_0200_20150317_000028	I'm suffering every day.{nl}Perhaps, I will also be eaten by monsters.	Aku menderita setiap harinya. {nl} Mungkin, nanti Aku juga akan dimangsa oleh para monster.
QUEST_LV_0200_20150317_000029	This forest is increasingly covered with demons.{nl}Where is the goddess?	Hutan ini semakin dipenuhi dengan Demon. {nl} Dimanakah para Goddess?
QUEST_LV_0200_20150317_000030	I was chosen by the chief... {nl} I'll do my best to defeat the monsters.	Aku terpilih menjadi Chief... {nl} Aku akan berusaha sebaik mungkin untuk mengalahkan monster-monster.
QUEST_LV_0200_20150317_000031	The chief is also struggling like this...{nl}Never will I be eaten until the goddess comes back.	Chief juga berjuang sampai seperti ini .. {nl} Jangan sampai Aku dimangsa sampai Goddess kembali.
QUEST_LV_0200_20150317_000032	Subordinate Owl 3	Subordinate Owl 3
QUEST_LV_0200_20150317_000033	We have always been here at this place, but where is the goddess who've always looked after us?	Kami selalu berada di tempat ini, tetapi dimanakah Goddess kami yang selalu mengkhawatirkan kami?
QUEST_LV_0200_20150317_000034	Do we exist only for guiding humans' souls?	Apakah keberadaan kami hanya untuk jiwa manusia?
QUEST_LV_0200_20150317_000035	Soldier Dominic	Soldier Dominic
QUEST_LV_0200_20150317_000036	I've been ordered to protect this place with my life and to do some reconnaissance at the same time.{nl}I don't know exactly what they expect me to do.	Aku telah diperintahkan untuk melindungi tempat ini dengan mempertaruhkan nyawa Aku dan secara bersamaan melakukan beberapa pengintaian. {nl} Aku tidak mengetahui secara pasti apa yang mereka inginkan dariku.
QUEST_LV_0200_20150317_000037	Next time I'm going to make sure they tell me exactly what they want me to do.{nl}No. wouldn't it be better to ask Julian?	Selanjutnya aku harus memastikannya apa yang sebenarnya sedang mereka inginkan dariku. {nl} tidakkah akan lebih baik jika bertanya kepada Julian?
QUEST_LV_0200_20150317_000038	If it's just monsters of that level, I guess I can report that there is no serious problem.{nl}Oh, if you happen to run into Samson, please tell him to stop fooling around and continue scouting.	Jika hanya monster dengan tingkat seperti itu, Aku rasa Aku bisa melaporkan bahwa tidak ada masalah yang serius. {nl} Oh, jika kamu bertemu dengan Samson, tolong katakan kepadanya untuk berhenti mengulur waktu dan terus melanjutkan pengintaian.
QUEST_LV_0200_20150317_000039	I will protect this area, so go patrol Veltui Crossroads.{nl}As for the reports, I will do them separately at a later time.	Aku akan melindungi area ini, untuk itu Aku akan berpatroli ke Veltui Crossroads. {nl} Untuk laporan, Aku akan membuatnya secara terpisah di lain waktu.
QUEST_LV_0200_20150317_000040	Soldier Samson	Soldier Samson
QUEST_LV_0200_20150317_000041	Can you please help me find Dominic's engagement ring? {nl} I'm currently undertaking a mission, so I won't be able to leave this spot.	Bisakah Kamu membantu Aku untuk menemukan Dominic's Engagement Ring? {nl} Saat ini Aku sedang menjalankan sebuah misi, jadi tidak bisa meninggalkan tempat ini.
QUEST_LV_0200_20150317_000042	I tell you, he acts like that even though I bought him a roughly similar one. So stingy...	Aku akan memberitahumu, dia bersikap seperti itu meskipun aku telah membelikan yang benar-benar menyerupainya. Dasar pelit..
QUEST_LV_0200_20150317_000043	What is this ugly thing? Oh, could the ring be inside?	Benda jelek apa ini? Oh, mungkin cincinnya berada di dalamnya?
QUEST_LV_0200_20150317_000044	A knife won't fit inside, and there's no other way to get it out.{nl}Right! Can't we burn it to retrieve what's inside?	Pisau tidak akan muat masuk kedalam, dan tidak ada cara lain untuk mengeluarkannya. {nl} Oh benar juga! Bukankah kita bisa membakarnya hingga menjadi abu untuk mengambil apa yang ada di dalamnya?
QUEST_LV_0200_20150317_000045	Just make sure to bring me ones that aren't too thick.	Hanya memastikan untuk membawakannya kepadaku benda itu yang tidak terlalu tebal. 
QUEST_LV_0200_20150317_000046	This should be just right.{nl}Good. Now, how do I burn this while I am working and not get caught?	Ini seharusnya bisa. {nl} Baiklah. Sekarang, bagaimana cara membakarnya agar ketika Aku bekerja, Aku tidak tertangkap?
QUEST_LV_0200_20150317_000047	There should be plenty of Dry Thorn Forest Wood at the edge of Ishisineti Cliff. {nl} I'm on patrol and don't have time, so I ask of you again.	Seharusnya ada banyak Dry Thorn Forest Wood di tepi Ishisineti Cliff. {nl} Aku sedang berpatroli dan tidak mempunyai banyak waktu, jadi aku memintamu untuk membantuku kembali.
QUEST_LV_0200_20150317_000048	Ah, you should be able to burn it secretly at the top of Ishisineti Cliff. {nl} This is my last request. You just need to make preparations for the fire.	Ah, Kamu seharusnya bisa membakarnya secara diam-diam di atas Ishisineti Cliff. {nl} Ini adalah permintaan terakhir Aku. Kamu hanya perlu membuat persiapan untuk membuat api.
QUEST_LV_0200_20150317_000049	I will never again care for another's wedding ceremony.	Aku tidak akan pernah lagi peduli mengenai upacara pernikahan orang lain.
QUEST_LV_0200_20150317_000050	I'll just say I have to go to the bathroom and burn it secretly there.{nl}Thank you very much.	Aku hanya ingin memberitahu aku ingin pergi ke kamar mandi dan membakarnya secara diam-diam di sana. {nl} Terima kasih banyak.
QUEST_LV_0200_20150317_000051	Soldier Poulter	Soldier Poulter
QUEST_LV_0200_20150317_000052	My goodness, the order states to eliminate all of the monsters in this area!{nl}How am I supposed to handle this many enemies all by myself?	Oh Tuhan, Isi Perintah adalah untuk menghabisi seluruh monster yang berada di area ini! {nl} Bagaimana caranya Aku bisa menangani begitu banyaknya musuh sendirian?
QUEST_LV_0200_20150317_000053	It was too overwhelming to carry out the task just by myself.{nl}However, I'm really fortunate since you decided to help me.	Tugas ini terlalu berat untuk aku lakukan sendiri. {nl} Namun, Aku merasa beruntung karena dirimu telah memutuskan untuk membantuku.
QUEST_LV_0200_20150317_000054	I could almost cry my eyes out!{nl}Thank you very much for your help.	Aku hampir menangis dan mengeluarkan air mata! {nl} Terima kasih banyak atas bantuanmu.
QUEST_LV_0200_20150317_000055	Commander Julian	Commander Julian
QUEST_LV_0200_20150317_000056	Thanks for the help! {nl} If it's okay with you, I'd like to borrow some more of your strength.{nl}	Terima kasih telah membantu! {nl} Jika Kamu tidak keberatan, Aku ingin meminjam kekuatanmu kembali. {nl}
QUEST_LV_0200_20150317_000057	Won't you support Commander O'Rourke's unit at the Veltui Crossroads?	Maukah kamu membantu Pasukan Commander O'Rourke di Veltui Crossroads?
QUEST_LV_0200_20150317_000058	Commander O'Rourke	Commander O'Rourke
QUEST_LV_0200_20150317_000059	Very impressive.{nl}Looks like I'll have to buy Julian a drink.	Sangat mengesankan.{nl}Sepertinya aku akan membelikan Julian minuman.
QUEST_LV_0200_20150317_000060	It occurred to me while watching Ironbaum. {nl} What an exceptional companion it could be.	Hal ini terlitas di benakku ketika melihat Ironbaum. {nl} Akan menjadi rekan yang luar biasa seperti apakah nantinya
QUEST_LV_0200_20150317_000061	O'Rourke's unit has been exhausted through big and small battles with Ironbaum.{nl}It would be very reassuring if you could become our strength.	Pasukan O'Rourke sudah cukup kelelahan setelah melalui berbagai pertempuran melawan Ironbaum. {nl} Akan sangat membantu jika kamu bisa menjadi kekuatan kami.
QUEST_LV_0200_20150317_000062	Substitute Owl Sculpture	Substitute Owl Sculpture
QUEST_LV_0200_20150317_000063	I want to help purify the thorny forest, but I'm not strong enough. Could you eliminate the Tree Ghouls bothering the soldiers?	Aku ingin membantu memurnikan Thorny Forest, tapi aku sangat lemah. Bisakah kamu mengalahkan Tree Ghouls yang mengganggu para prajurit?
QUEST_LV_0200_20150317_000064	It would be nice if more people could come and go using this road like before.{nl}I find people very interesting.	Akan lebih menyenangkan jika lebih banyak orang yang datang dan pergi menggunakan jalan ini seperti dahulu. {nl} Aku bertemu dengan orang-orang yang sangat menyenangkan.
QUEST_LV_0200_20150317_000065	Thank you. I hope I'm not giving you needless trouble all because of my aspirations.	Terima kasih. Semoga aku tidak memberikan kesulitan kepadamu dari semua aspirasi yang aku inginkan.
QUEST_LV_0200_20150317_000066	Alright. We haven't received any word from our forces at Niurus Highway.{nl}I request you find them.	Baiklah. Kami belum menerima kabar apapun dari pasukan kami yang berada di Niurus Highway. {nl} Aku mohon kepadamu untuk menemui mereka.
QUEST_LV_0200_20150317_000067	If you can't find them, return to us.	Bila Kamu tidak menemukan mereka, kembalilah segera.
QUEST_LV_0200_20150317_000068	Soldier Kallus	Soldier Kallus
QUEST_LV_0200_20150317_000069	There are still a few of our colleagues further in.{nl}Please help us.	Masih ada beberapa rekan-rekan kami yang berada di dalam sana. {nl} Tolong bantu kami.
QUEST_LV_0200_20150317_000070	Soldier Dainus	Soldier Dainus
QUEST_LV_0200_20150317_000071	Ironbaum attacked us at the Drieza Waterland.{nl}There are still soldiers left that have not yet escaped.{nl}	Ironbaum menyerang kami di Drieza Waterland.{nl} Masih banyak prajurit yang belum berhasil kabur dari sana.{nl}
QUEST_LV_0200_20150317_000072	I'm embarrassed to have escaped by myself.{nl}	Aku merasa malu karena melarikan diri.{nl}
QUEST_LV_0200_20150317_000073	Settled Owl Sculpture	Settled Owl Sculpture
QUEST_LV_0200_20150317_000074	I have something to ask from you.{nl}I'm worried about the soldiers who are being hurt by the Ravinelarvae.	Aku punya suatu permintaan kepadamu. {nl} Aku khawatir mengenai para prajurit yang menderita sakit karena Ravinelarvae.
QUEST_LV_0200_20150317_000075	Thank you.{nl}From now on, can our soldiers work comfortably?	Terima kasih.{nl} Mulai sekarang, dapatkah prajurit kita bisa bekerja dengan nyaman?
QUEST_LV_0200_20150317_000076	I appreciate your kind help.{nl}One day, I will return this favor when I meet your soul form.	Aku sangat menghargai bantuanmu.{nl} Suatu hari nanti, Aku akan membalas budi ini saat bertemu denganmu.
QUEST_LV_0200_20150317_000077	Are you the famous Revelator?{nl}Good, I'm puzzled with something. I need your help.	Apakah kamu Savior yang terkenal itu? {nl} Oh Syukurlah, Aku sedang bingung saat ini, Aku membutuhkan bantuanmu.
QUEST_LV_0200_20150317_000078	Ah, now I've received the order.{nl}Return to Commander Julian.	Ah, sekarang Aku sudah menerima perintahnya.{nl} Kembalilah kepada Commander Julian.
QUEST_LV_0200_20150317_000079	I'm collecting information about Ironbaum.{nl}In order to reach the Gateway of the Great King, we have to defeat this monster first.	Aku mengumpulkan informasi tentang Ironbaum. {nl} Untuk mencapai Gateway of the Great King, kita harus mengalahkan moster ini terlebih dahulu.
QUEST_LV_0200_20150317_000080	Thank you.{nl}Come back after taking this order to Poulter at Zaizda Hill.	Terima kasih. {nl} Kembalilah setelah membawa perintah ini kepada Poulter di Zaizda Hill.
QUEST_LV_0200_20150317_000081	Give me back the good old times.{nl} When there were no thorns.	Mengingatkan Aku akan masa lalu.{nl} Ketika tidak ada Thorns.
QUEST_LV_0200_20150317_000082	If the path to the Gateway of the Great King is safe then I will be able to see more people.{nl}	Jika jalan menuju Gateway of the Great King aman maka Aku akan dapat melihat lebih banyak orang. {nl}
QUEST_LV_0200_20150317_000083	Over all this time, I've seen it all.{nl}Now, I want only joy to be seen.	Secara keseluruhan, Aku sudah melihat semuanya. {nl} Sekarang, Aku hanya ingin melihat kebahagiaan.
QUEST_LV_0200_20150317_000084	Why do human souls contain so many things?	Mengapa jiwa manusia mengandung begitu banyak hal ?.
QUEST_LV_0200_20150317_000085	If we run into monsters, we'll have no choice but to fight.	Jika kita bertemu dengan para monster, kita tidak akan punya pilihan selain untuk melawannya.
QUEST_LV_0200_20150317_000086	We're working to reach the Gateway of the Great King.{nl}Have you heard the news about Ironbaum?	Kami sedang berupaya untuk mencapai Gateway of the Great King. {nl} Pernahkah Kamu mendengar informasi mengenai Ironbaum?
QUEST_LV_0200_20150317_000087	In order to be a group leader, you need unwavering principles.	Untuk menjadi seorang pemimpin, Kamu harus memiliki prinsip yang tidak mudah tergoyahkan.
QUEST_LV_0200_20150317_000088	It's true that trying to reach the Gateway of the Great King is reckless.{nl}However, we can't disobey the order.	Memang benar bahwa mencoba untuk mencapai Gateway of the Great King merupakan tindakan nekat. {nl} Akan tetapi, kita tidak bisa melanggar perintah.
QUEST_LV_0200_20150317_000089	It may seem bad at first, but the two commanders have a surprisingly good relationship.	Hal ini mungkin tampak buruk pada awalnya, tetapi ternyata kedua Commanders sebenarnya memiliki hubungan yang baik.
