QUEST_LV_0300_20150323_000001	We were deployed here from headquarters to support the Knights of Kaliss.{nl}If you want to know more, head over to our headquarters at Verkti Square.	Kami dikerahkan ke sini dari headquarters untuk membantu Knights of Kaliss.{nl} Jika Kamu ingin tahu lebih banyak, pergilah ke headquarters kami di Verkti Square.
QUEST_LV_0300_20150323_000002	I've been a merchant all my life. {nl}After Medzio Diena, this seemed like the safest place to be, so I settled here... {nl}But I guess I was wrong.	Aku sudah menjadi merchant sepanjang hidupku. Setelah Medzio Diena, tampak ini adalah tempat yang paling aman, jadi saya menetap di sini.. Namun perkiraan saya salah.
QUEST_LV_0300_20150323_000003	I've met many Revelators during my travels.{nl}In my opinion... there is something special about them, and it's not just their strength.	Saya telah bertemu banyak Savior selama perjalanan.{nl} Menurut saya.. ada sesuatu yang spesial mengenai mereka, namun itu bukan hanya semata-mata mereka kuat.
QUEST_LV_0300_20150323_000004	I'm not blaming the goddesses and the priests.{nl}But I think it's too much when they tell us to just trust them and wait.	Aku tidak menyalahkan Goddess dan para priest.{nl} Tapi kurasa itu terlalu berlebihan ketika mereka mengatakan untuk mempercayai dan menunggu mereka.
QUEST_LV_0300_20150323_000005	The seals in the village are supposed to be sealed - that's why they're called seals, {nl}so what's the big deal? The priests are just trying to scare us for no reason.	Segel di desa seharusnya tersegel - Itu sebabnya mereka disebut segel, jadi apa masalahnya? {nl} Para priest hanya mencoba untuk menakut-nakuti kami tanpa alasan.
QUEST_LV_0300_20150323_000006	The priests don't want everyone to know how important the seals in the village are.{nl}They think that they can just take the burden upon themselves, {nl}and then everything will be alright.	Para priest tidak ingin semua orang tahu betapa pentingnya segel di desa itu.{nl} Mereka pikir bahwa mereka bisa membebani diri mereka sendiri, dan kemudian semuanya akan baik-baik saja.
QUEST_LV_0300_20150323_000007	Some of the priests want to be truthful and open with the villagers.{nl}At this rate, if something really bad happens...	Beberapa priest ingin jujur dan terbuka kepada warga desa.{nl}Pada saat ini, jika sesuatu yang sangat buruk terjadi..
QUEST_LV_0300_20150323_000008	The evil energy is making this forest decay into a lifeless place.{nl}It is easily the biggest problem this village is facing.	Energi jahat membuat hutan rusak dan menjadi tempat tak berpenghuni.{nl} Hal ini adalah masalah terbesar yang desa ini hadapi.
QUEST_LV_0300_20150323_000009	Goddess...{nl}Please tell me the village's seal is really okay...	Goddess...{nl} Tolong beritahu saya segel dari desa akan baik-baik saja…
QUEST_LV_0300_20150323_000010	Demons will continue to target the seal and attack endlessly.{nl}With Goddess Austeja still missing, how long will we be able to last...	Para demon akan terus mengincar segel dan menyerang tanpa henti.{nl} Dengan Goddess Austeja yang masih menghilang, berapa lama kita akan dapat bertahan..
