QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20150317_000002	Note the long way Hashipusho.	Catatan perjalanan panjang Hashipusho.
QUEST_UNUSED_20150317_000003	So. Korezo. Pardoner does not allow you to introductory. Sound fall that silver was Like this donation was bought {nl} indulgences leads to our salvation. {nl} wealth also, that it be noted that it is a great blessing of goddess.	Jadi. Korezo. Pardoner tidak mengijinkan kamu untuk memperkenalkan diri. Suara silver jatuh untuk donasi ini telah dibeli {nl} pengampunan dosa yang membimbing keselamatan kita. {nl} Juga kekayaan, harap dicatat itu adalah blessing dari Goddess.
QUEST_UNUSED_20150317_000004	Pardoner be viewed back to your master Te. {nl} if had the fire pot looking for a very long time.	Pardoner dilihat kembali ke Master Te. {nl} Jika punya fire pot yang dicari-cari selama ini.
QUEST_UNUSED_20150317_000005	Gatekeeper Owl Sculpture	Gatekeeper Owl Image
QUEST_UNUSED_20150317_000006	Or Tesla-like has created us by cutting the tree. {nl} So, we owl, you always say want to return the favor. {nl}	Atau Tesla-sepertinya telah menciptakan kita dengan memotong pohon. {nl} Jadi, kami owl, kamu selalu mengatakan ingin membalas budi. {nl}
QUEST_UNUSED_20150317_000007	So I what is. You may ask. Would you like Tesla electrolysis collected sculpture of marble from {nl} Cathedral?	Jadi aku ini apa. Kamu mungkin bertanya. Apakah kamu ingin Tesla electrolysis mengumpulkan sculpture of marble dari {nl} Cathedral?
QUEST_UNUSED_20150317_000008	If marble of the cathedral, but it likes Tesla-like?	Jika marble of the cathedral, tapi itu seperti yang Tesla suka?
QUEST_UNUSED_20150317_000009	If it were a gift of owl image {nl} the babe, but evidence for my life. {nl}	Jika itu adalah sebuah hadiah dari Owl Image {nl} seorang bati, tapi sebuah bukti untuk hidupku. {nl}
QUEST_UNUSED_20150317_000010	Anyway .. What seemed happy visitor comes something today, I will Hey drawing.	Ngomong-ngomong .. Apa yang membuat pengunjung senang hari ini, Aku akan menggambar Hey.
QUEST_UNUSED_20150317_000011	When I saw the first time in your Klaipeda, it was thought to be whether the delicate arm sword Ya can shake. {nl} But, now I became a hero in the hero that many people praise. {nl}	Ketika aku pertama kali melihat di Klaipeda, aku dianggap lemah apakah aku bisa mengangkat pedangnya. {nl} Tapi, sekarang aku menjadi seorang pahlawan dan banyak orang yang memujiku.
QUEST_UNUSED_20150317_000012	However, I want to make sure your courage directly. banshee {nl} covers the evil aura the dark forest. You are not a proper challenge harder ones.	Namun, Aku ingin memastikan keberanianmu secara langsung. Banshee {nl} menutupi aura jahat dark forest. Bagi Kamu bukan tantangan yang sulit.
QUEST_UNUSED_20150317_000013	Isolation. Just merely hunting. In {nl}, Itogetone waiting on the Klaipeda.	Isolasi. Hanya sekedar berburu. Di dalam {nl}, Itogetone sedang menunggu di Klaipeda.
QUEST_UNUSED_20150317_000014	Have been. Was waiting. {nl} would be given a reward worthy of your container if this degree.	Sudah. Sedang menunggu. {nl} Akan diberikan sebuah hadiah yang sesuai dengan kotak pada level ini.
QUEST_UNUSED_20150317_000015	Hehe, I'm really enthusiastic. {nl} I remembered when you were still convergence wizard. Then also you were really enthusiastic. {nl}	Hehe, Aku sangat antusias. {nl} Aku ingat ketika kamu masih sebagai wizard pemula. Lalu kamu juga sangat antusias. {nl}
QUEST_UNUSED_20150317_000016	Now I want to know you grew how. If {nl} banshee et al defile the forest, do not you to the appropriate challenge?	Sekarang aku ingin tahu bagaimana perkembanganmu. Jika {nl} Banshee et al defile Forest, Bukankah ini tantangan yang layak untukmu?
QUEST_UNUSED_20150317_000017	Rather than test, it is considered to be a good thing. In {nl}, and later also met at the Klaipeda.	Daripada tes, itu dianggap sesuatu yang baik. Di dalam {nl}, dan nanti bertemu di Klaipeda.
QUEST_UNUSED_20150317_000018	Yes, brilliantly Hatchiu~otone. and {nl} is a what kind of figure is when the next meet, further anxious?	Ya, Brilliantly Hatchiu~otone. Dan {nl} adalah sosok ketika bertemu selanjutnya, masih cemas?
QUEST_UNUSED_20150317_000019	Plate when you saw the first time, I wonder not die immediately parser too stand up. I thought. {nl} now I think that it has become more famous than me. {nl}	Plate ketika kamu melihat pertama kali, Aku heran tidak segera mati parser juga berdiri. Aku pikir. {nl} Sekarang aku pikir itu menjadi lebih terkenal dariku. {nl}
QUEST_UNUSED_20150317_000020	You will really try to the will bet described meets applied to its reputation. {nl} it is to exterminate all the nasty banshee covering this forest. How is it?	Kamu yakin mencoba bertaruh melihat reputasinya. {nl} Itu untuk membasmi semua Banshee jahat yang ada di hutan ini. Bagaimana?
QUEST_UNUSED_20150317_000021	What so I'm going important that actually bet. I met me is, it is not more important. In {nl}, waiting on the Klaipeda.	Apa yang menjadikan aku penting dari benar-benar bertaruh. Bertemu denganku, itu tidka lebih penting. Sedang {nl}, menunggu di Klaipeda.
QUEST_UNUSED_20150317_000022	Have been. You really've got to impress me. {nl} Do you accept now expect a more grown-up appearance?	Sudah. Kamu benar-benar membuatku terkesan. {nl} Apakah sekarang kamu menerima penampilan yang lebih dewasa?
QUEST_UNUSED_20150317_000023	I think it 's assume is filled with the grace of goddess than when you first came to the Klaipeda. {nl} I want to know your faith is how deep. {nl}	Aku kira itu diisi dengan karunia Goddess dibandingkan ketika kamu pertama kali datang ke Klaipeda. {nl} Aku ingin tahu seberapa dalam keyakinanmu. {nl}
QUEST_UNUSED_20150317_000024	Of course, it is not the same thing Let again in an abstract standard. {nl} and I drive off the banshee that bring the evil aura in this forest in the name of the goddess.	Tentu saja, itu bukan hal yang sama dalam standar abstrak. {nl} dan aku mengusir Banshee yang membawa aura jahat di hutan ini atas nama Goddess.
QUEST_UNUSED_20150317_000025	Goddess less our enemy and we do not have differences. In {nl}, I will see you on the Klaipeda.	Goddess mengurangi musuh kami dan kami tidak punya perbedaan. Baiklah {nl}, Aku akan bertemu kamu di Klaipeda.
QUEST_UNUSED_20150317_000026	I'm was Mashi Oh. You showed great faith. {nl} and I gave me also my great inspiration. {nl} This is do my little castle. By all means, please write in the correct thing.	Aku adalah Mashi Oh. Kamu menunjukkan keyakinan yang besar. {nl} dan juga memberiku inspirasi besar. {nl} Ini yang dilakukan Kastil kecilku. Dengan segala hormat, mohon tulis hal yang benar.
QUEST_UNUSED_20150317_000027	Previous quiet here there is no time temporarily or quiet now monsters.	Sebelumnya di sini tempat yang tenang, tidak ada waktu sementara atau waktu ketika monster pergi.
QUEST_UNUSED_20150317_000028	If you leave only my monster, it is to find and attack the soul that gather here.	Jika kamu hanya meninggalkan hanya monsterku, Itu untuk menemukan dan menyerang jiwa yang berkumpul di sini.
QUEST_UNUSED_20150317_000029	People are now better Denis mood decreased even a little.	Orang-orang sekarang lebih baik mood Denis berkurang walau sedikit.
QUEST_UNUSED_20150317_000030	People has decided to let buried the remains of family here. {nl} now it has been left on the land for uncovering monster all.	Orang-orang telah memutuskan untuk mengubur keluarga mereka di sini. {nl}Sekarang telah ditinggalkan di tanah ini untuk membongkar semua monster.
QUEST_UNUSED_20150317_000031	Here is time that that was heard little by little sad cries of bereaved family was ... the best of times.	Ini adalah waktu dimana mendengar sedikit demi sedikit tangis kesedihan dari keluarga yang ditinggalkan ... Waktu yang berharga.
QUEST_UNUSED_20150317_000032	Although relics you have not met yet is large, even look but I think that was good.	Meskipun relic yang kamu miliki belum cukup besar, bahkan terlihat tapi itu cukup bagus.
QUEST_UNUSED_20150317_000033	Image of other owl has come back soul must be India. {nl} that a problem has occurred in the vicinity of the barrier is clear.	Gambar dari owl lain telah kembali jiwa pasti India. {nl} Itu adalah sebuah masalah yang terjadi di sekitar barrier sudah jelas.
QUEST_UNUSED_20150317_000034	What might, but I feel that we are only in something	Apa yang mungkin, tapi aku merasa kita hanya ada di dalam sesuatu.
QUEST_UNUSED_20150317_000035	It 's was Demon still. {nl} Here people the tranquility in had defiled.	Itu masih Asmodian. {nl} Di sini ketenangan orang-orang telah dirusak.
QUEST_UNUSED_20150317_000036	Soul fled to the north might know the information about the person.	Jiwa yang melarikan diri ke utara mungkin tahu informasi tentang orang itu.
QUEST_UNUSED_20150317_000037	Lost Spirit	Lost Spirit
QUEST_UNUSED_20150317_000038	I you're alive. {nl} However, is never safe you.	Jika kamu masih hidup. {nl} Namun, kamu tidak pernah aman.
QUEST_UNUSED_20150317_000039	Demon does not know what sniff, but ... my barrier, you need to open always.	Asmodian tidak tahu apa yang mengendus, tapi ... Barrier ku, kamu harus selalu membukanya.
QUEST_UNUSED_20150317_000040	I went to find an image of the owl at all of deeper. {nl} or we will help me be able to escape from here?	Aku pergi untuk menemukan sebuah gambar owl lebih dalam. {nl} Atau kami akan membantu agar bisa kabur dari sini?
QUEST_UNUSED_20150317_000041	Monster we will chase it tries to absorb the soul. {nl} to do would steeped in evil forces getting caught caught in them.	Monster akan kami kejar jika mencoba untuk menyerap jiwa. {nl} Lakukan untuk mengetahui kekuatan jahat yang tertangkap.
QUEST_UNUSED_20150317_000042	Thank you very much! {nl} I can leave aiming this gap.	Terima kasih banyak! {nl} Aku bisa meninggalkan dengan tujuan jurang ini.
QUEST_UNUSED_20150317_000043	Regret many souls	Regret Souls
QUEST_UNUSED_20150317_000044	I know. Soul went north before {nl} will not be able to get there. {nl} However, the length can go to the image of the other owl in the upper. {nl} for Sakmori our top of the hill, I do not Yes can go.	Aku tahu. Jiwa pergi ke utara sebelumnya {nl} tidak akan bisa mencapai ke sana. {nl} Namun, bida pergi ke gambar daro owl lain di atas. {nl} Untuk Sakumori kami di atas bukit, Aku tidak tahu ya kita bisa pergi.
QUEST_UNUSED_20150317_000045	Monster Why chase us. {nl} It is painful. Also died ..	Monster mengapa mengejar kita. {nl} Itu menyakitkan. Juga kekalahan…
QUEST_UNUSED_20150317_000046	The word is it true? Nante clogged length of {nl}.	Apakah kata-katanya benar? Nante menyumbat {nl}.
QUEST_UNUSED_20150317_000047	It is not ginger. {nl} once I let you know that the soul is where the opposite. {nl} There is one Proceeding north owl image. And try to go there.	Itu bukan jahe. {nl} Setelah aku membiarkanmu tahu bahwa jiwa dimana sebaliknya. {nl} Ada satu gambar owl di utara. Dan coba pergi ke sana.
QUEST_UNUSED_20150317_000048	I want to leave before that gather people again.	Aku ingin pergi sebelum itu mengumpulkan orang-orang lagi.
QUEST_UNUSED_20150317_000049	Sacred Owl Sculpture	Sacred Owl Image
QUEST_UNUSED_20150317_000050	I have been attacked following the de scan all vinegar was mutated from the other day. {nl} also my body that was made of wood If you leave this, you will be broken soon!	Aku telah diserang mengikuti dengan memindai semua cuka yang bermutasi dari hari lainnya. {nl} juga tubuhku terbuat dari kayu jika kamu meninggalkan ini, kamu akan segera rusak!
QUEST_UNUSED_20150317_000051	Yes not to want to create to wander me deposited obtained remains and soul again ...	Ya tidak ingin membuat penjelajahanku terendap oleh sisa-sisa jiwa lagi…
QUEST_UNUSED_20150317_000052	It is unscrupulous people while small.	Ini adalah orang-orang yang tidak bermoral ketika kecil.
QUEST_UNUSED_20150317_000053	sad, but our image does not allow you to carry out the mission given now sculptor like. {nl} to be able to protect myself. {nl}	Sedih, tapi gambar kami tidak mengizinkan kamu memikul misi dari pematung. {nl} Untuk dapat melindungi diri sendiri. {nl}
QUEST_UNUSED_20150317_000054	Soul responsible too many.	Jiwa bertanggung jawab terlalu banyak.
QUEST_UNUSED_20150317_000055	It is great!	Itu hebat!
QUEST_UNUSED_20150317_000056	Please proceed to the south. {nl} there will be a statue to go crack like me.	Lanjutkan ke selatan. {nl} Akan ada sebuah patung yang retak sepertiku.
QUEST_UNUSED_20150317_000057	Gloomy Owl Sculpture	Melancholy Owl Image.
QUEST_UNUSED_20150317_000058	It is strange that living people come here. Do not look at the soul of {nl}, seems a few years have passed.	Ini aneh orang yang hidup tinggal di sini. Jangan melihat jiwa {nl}, sepertinya beberapa tahun telah berlalu.
QUEST_UNUSED_20150317_000059	Thanks to you, the last few years you will be able to hold out.	Terima kasih untukmu, beberapa tahun terakhir kamu mampu bertahan.
QUEST_UNUSED_20150317_000060	monster you've witnessed is unreasonable of hollow vendor that drove into a corner us. {nl} in order to prevent the monsters, you will need to delete the empty owl. {nl} ne because herd of hollow vendor is using the trap. {nl} you need to make sure the image of the valley deep in the empty owl.	Monster yang kamu lihat tidak beralasan menuju ke arah kami. {nl} Untuk mencegah monster, kamu harus menghapus empty owl. {nl} Karena Hollow Vendor menggunakan perangkap. {nl} Kamu harus memastikan gambar di valley deep di dalam empty owl.
QUEST_UNUSED_20150317_000061	Soul will find the the owl. {nl} will cause bite into the empty owl. {nl} people soul knows very well the fact that get lost to find us	Jiwa akan menemukan owl. {nl}Akan menyebabkan gigitan ke empty owl. {nl} Jiwa orang-orang tahu sekali fakta tersesat untuk menemukan kami.
QUEST_UNUSED_20150317_000062	To that utilize a large number of image.	Untuk menggunakan sejumlah besar gambar.
QUEST_UNUSED_20150317_000063	The soul who have been said, it was the place where the soul has been found our owl. The {nl} now, it would be filled with traps of hollow vendor unreasonable is installed. {nl} pitfalls of herd of hollow vendor will be the threat to anyone.	Jiwa yang sudah disebutkan, itu adalah tempat dimana jiwa telah menemukan owl. {nl} Sekarang, itu akan diisi dengan perangkap dari Hollow Vendor tanpa alasan memasangnya. {nl} Perangkap dari gerombolan Hollow Vendor akan menjadi ancaman bagi semua orang.
QUEST_UNUSED_20150317_000064	If soul you have lost the way, we will look for another soul. {nl} bright trap, I'm tempted so the soul.	Jika jiwamu kehilangan arah, kami akan mencari jiwa lain. {nl} Perangkap yang berkilau, membuat jiwaku tergoda.
QUEST_UNUSED_20150317_000065	I I have had a lot of pitfalls.	Aku punya banyak perangkap.
QUEST_UNUSED_20150317_000066	Hollow Venter is to such should be in the neighborhood of Yorusu~euru. {nl} It is strange.	Hollow Venter aalah seperti yang ada di lingkungan Yorusu~euru. {nl} Itu aneh.
QUEST_UNUSED_20150317_000067	Peripheral hollow vendors need to defeat a swarm of ants seems to display. {nl} If you do not come out, will must be drag.	Peripheral Hollow Vendor ingin mengalahkan sekelompok semut untuk dipajang. {nl} Jika kamu tidak keluar, itu harus dilakukan.
QUEST_UNUSED_20150317_000068	Or Will the monster Where appeared?	atau dimana monster muncul?
QUEST_UNUSED_20150317_000069	If this does not come out. {nl} There is a idea.	Jika tidak keluar juga. {nl} Ada sebuah ide.
QUEST_UNUSED_20150317_000070	Even this Nante does not come out a hollow Venter of key, there will be in the place where it was told to me always {nl}.	Bahkan Nante ini tidak keluar Hollow Venter of key, pasti ada suatu tempat dimana bisa mengatakan kepadaku {nl}.
QUEST_UNUSED_20150317_000071	You will clearly represent the figure and you arrive.	Kamu jelas mewakili sosok itu dan kamu tiba.
QUEST_UNUSED_20150317_000072	This is the key .. barrier.	Ini kuncinya .. barrier.
QUEST_UNUSED_20150317_000073	I open the front door with a key. {nl} there will be a soul of assistant who will lead the soul to the other side of the barrier. {nl} the soul might be able to help you.	Aku membuka pintu depan dengan kunci. {nl} Akan ada jiwa pendamping yang membimbing jiwa ke sisi lain barrier. {nl} Jiwa itu akan menolongmu.
QUEST_UNUSED_20150317_000074	Sometimes in the soul, there are those who serve and left to than receive India. The soul is such a category.	Kadang-kadang di dalam jiwa, ada orang-orang yang melayani dan dibiarkan daripada menerimanya. Jiwa adalah kategori itu.
QUEST_UNUSED_20150317_000075	Guiding Spirit	Assistant soul
QUEST_UNUSED_20150317_000076	Hello! {nl} Oh, I Are You to be folded alive.	Halo! {nl} Oh, apakah kamu masih hidup.
QUEST_UNUSED_20150317_000077	I've already passed the time to receive India. However, I was not acquired absolutely. {nl} before you come, I is where you had to give up without a soul if unless assistance. {nl} Now go and please open the barrier. Please tell sure {nl} and toward the owl image here now and safety of!	Aku telah melewati banyak waktu untuk mendapatkan India. Namun, aku belum mendapatkannya. {nl} Sebelum kamu datang, tadinya aku akan menyerah. {nl} Sekarang pergi dan tolong buka barrier. Tolong katakan yakin {nl} dan menuju gambar owl di sini sekarang dan jaga keselamatan!
