UI_20150317_000001	{@st41b}Learn Attributes{nl}from respective masters of each class.{/}	{@st41b}Kamu dapat belajar attribute{nl}Melalui Master setiap class.{/}
UI_20150317_000002	{@st43}Attribute List {/}	{@st43}List {/}
UI_20150317_000003	{@st59}Close{/}	{@st59}Tutup {/}
UI_20150317_000004	{@st43}Learn Attributes{/}	{@st43}Belajar Attribute{/}
UI_20150317_000005	{@st59}Close{/}	{@st59}Tutup window attribute{/}
UI_20150317_000006	{@st41b}Silver{/}	{@st41b}Silver{/}
UI_20150317_000007	My Achievements	My Achievement
UI_20150317_000008	Server Ranking	Server Ranking
UI_20150317_000009	{@st59}An unexpected event is available.{/}	{@st59}Surprise Event.{/}
UI_20150317_000010	{@st59}There is a new Help message{/}	{@st59}Ada pesan bantuan baru.{/}
UI_20150317_000011	{@st41}Are you sure you want to craft this type of arrow?{/}	{@st41}Arrow macam apa yang mau kamu buat?{/}
UI_20150317_000012	{@st41b}Once{/}	{@st41b}Sekali{/}
UI_20150317_000013	{@st41b}All{/}	{@st41b}Semua{/}
UI_20150317_000014	{@st41b}Pause{/}	{@St41b}Pause{/}
UI_20150317_000015	{@st43}Adventure Journal{/}	{@St43}Adventure Journal{/}
UI_20150317_000016	{@st43}Auction House{/}	{@St43}Auction House{/}
UI_20150317_000017	{@st59}Close{/}	{@St59}Tutup Auction House{/}
UI_20150317_000018	{@st41b}Items Sold : ×%s, Items Unsold : ×%s{/}	{@St41b}Item Terjual : %s buah, Item Belum terjual : %s buah{/}
UI_20150317_000019	{@st43}{s22}Item Auction{/}	{@St43}{s22}Item Auction{/}
UI_20150317_000020	{@st59}Close{/}	{@st59}Tutup Quest Information{/}
UI_20150317_000021	Availest	Sukses!!
UI_20150317_000022	{@st41b}Remaining Time	{@St41b}Waktu Tersisa
UI_20150317_000023	3 hours 16 minutes	3 jam 16 menit
UI_20150317_000024	{@st41b}Starting Price	{@St41b}Harga mulai dari
UI_20150317_000025	{@st41b}Bids	{@St41b}Lelang
UI_20150317_000026	{@st41b}Current Price	{@St41b}Harga Sekarang
UI_20150317_000027	{@st41b}Bidding Price	{@St41b}Harga Lelang
UI_20150317_000028	{@st41b}Minimum Bid Price from {@st57}%s{@st41b}silver{/}	{@St41b}Harga Lelang Minimum mulai dari {@st57}%s {@st41b}Silver{/}
UI_20150317_000029	{@st41b}Bid{/}	{@St41b}Lelang{/}
UI_20150317_000030	{@st43b}Buy Now!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@St43b}Beli Sekarang! {nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Permission Settings{/}	{@St44}Permission Settings{/}
UI_20150317_000032	{@st45}Name: %s{/}	{@St45}Nama: %s{/}
UI_20150317_000033	{@st45}Party Storage{/}	{@St45}Party Warehouse{/}
UI_20150317_000034	{@st49}None	{@St49}None
UI_20150317_000035	{@st49}Store	{@St49}Insert
UI_20150317_000036	{@st49}Retrieve	{@St49}Import
UI_20150317_000037	{@st45}Survey{/}	{@St45}Survey{/}
UI_20150317_000038	{@st49}Create	{@St49}Buat
UI_20150317_000039	{@st49}Delete	{@St49}Hapus
UI_20150317_000040	{@st44}Save{/}	{@St44}Save{/}
UI_20150317_000041	{@st44}Cancel{/}	{@St44}Batal{/}
UI_20150317_000042	{@st43}{s22}Hairstyle Shop{/}	{@St43}{s22}Hair Shop{/}
UI_20150317_000043	{@st59}Previous Hairstyle{/}	{@st59}Hair Sebelumnya{/}
UI_20150317_000044	{@st59}Next Hairstyle{/}	{@St59}Hair Selanjutnya{/}
